Section,Category,Example
Technology,Cloud-based data access and sharing software,Google Drive
Technology,Desktop communications software,Skype
Technology,Desktop publishing software,Adobe InDesign
Technology,Document management software,Adobe Acrobat
Technology,Graphics or photo imaging software,Adobe Creative Cloud software
Technology,Graphics or photo imaging software,Adobe Illustrator
Technology,Graphics or photo imaging software,Adobe Photoshop
Technology,Office suite software,Microsoft Office software
Technology,Office suite software,OpenOffice.org
Technology,Presentation software,Microsoft PowerPoint
Technology,Spreadsheet software,Microsoft Excel
Technology,Text to speech conversion software,Text to speech software
Technology,Video creation and editing software,YouTube
Technology,Web page creation and editing software,Facebook
Technology,Web page creation and editing software,Red Sweater MarsEdit
Technology,Web page creation and editing software,Social media software
Technology,Web page creation and editing software,WordPress
Technology,Word processing software,Apple iWork Pages
Technology,Word processing software,AutoCrit Editing Wizard
Technology,Word processing software,Microsoft Word
Technology,Word processing software,WriteWay Pro
