Section,Category,Example
Technology,Accounting software,Turtle Creek Software Goldenseal
Technology,Analytical or scientific software,Construction Master Pro
Technology,Analytical or scientific software,Electrosoft FlashWorks
Technology,Analytical or scientific software,Elite Software Inpoint
Technology,Analytical or scientific software,SoftEmpire Electrical Calculations
Technology,Computer aided design CAD software,Autodesk AutoCAD
Technology,Computer aided design CAD software,One Mile Up Panel Planner
Technology,Data base user interface and query software,Database software
Technology,Data base user interface and query software,Resolve Systems Service Management
Technology,Data base user interface and query software,Sage 300 Construction and Real Estate
Technology,Data base user interface and query software,Shafer Service Systems
Technology,Document management software,Adobe Acrobat
Technology,Electronic mail software,Microsoft Outlook
Technology,Enterprise resource planning ERP software,SAP software
Technology,Industrial control software,AVEVA InTouch HMI
Technology,Industrial control software,Programmable logic controller PLC software
Technology,Industrial control software,Supervisory control and data acquisition SCADA software
Technology,Office suite software,Microsoft Office software
Technology,Operating system software,Microsoft Windows
Technology,Process mapping and design software,SmartDraw
Technology,Project management software,Craftsman CD Estimator
Technology,Spreadsheet software,Microsoft Excel
Technology,Word processing software,Microsoft Word
Technology,Word processing software,Socrates Contractor's Library
