occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology,accountability_responsibility,substitution_score,defense_score,net_risk,net_risk_calibrated,net_risk_uncalibrated,net_risk_source,bottleneck_B,demand_elasticity_eps,m_comp,m_comp_raw
11-1011,0.8888888888888888,0.9108527131782944,0.0736434108527131,0.9748062015503876,0.7803617571059431,0.5697674418604651,0.834625322997416,0.6531007751937984,0.7342567594167909,0.7342567594167909,0.1815245478036176,calibrated,0.03682170542635655,0.7,0.2,0.6742248062015503
11-1021,0.7848837209302325,0.661498708010336,0.2428940568475452,0.7338501291989664,0.6724806201550387,0.6046511627906976,0.7286821705426356,0.5460809646856158,0.4571013499705048,0.4571013499705048,0.18260120585701978,calibrated,0.1214470284237726,0.7,0.2,0.6149870801033591
11-2011,0.6363049095607235,0.7474160206718347,0.1136950904392764,0.9476744186046512,0.8527131782945736,0.3217054263565891,0.7445090439276485,0.602928509905254,0.7314331080726519,0.7314331080726519,0.14158053402239446,calibrated,0.0568475452196382,0.7,0.2,0.6602067183462532
11-2021,0.4463824289405684,0.7571059431524548,0.0516795865633074,0.9560723514211886,0.8372093023255814,0.5523255813953488,0.6417958656330749,0.5882859603789836,0.817797125131626,0.817797125131626,0.05350990525409127,calibrated,0.0258397932816537,0.7,0.2,0.6819121447028424
11-2022,0.7054263565891473,0.8824289405684754,0.0348837209302325,0.9308785529715762,0.6524547803617571,0.2945736434108527,0.6789405684754521,0.6160637381567614,0.7354243897405435,0.7354243897405435,0.06287683031869074,calibrated,0.01744186046511625,0.7,0.2,0.6877906976744186
11-2033,0.8217054263565892,0.7648578811369509,0.0891472868217054,0.8255813953488372,0.7764857881136951,0.5471576227390181,0.7990956072351421,0.5598621877691645,0.7294334648487281,0.7294334648487281,0.23923341946597754,calibrated,0.0445736434108527,0.7,0.2,0.6687984496124031
11-3012,0.9198966408268734,0.6996124031007752,0.3850129198966408,0.6498708010335917,0.5251937984496124,0.4502583979328165,0.7225452196382429,0.5781653746770026,0.161246774226595,0.161246774226595,0.14437984496124034,calibrated,0.1925064599483204,0.7,0.2,0.5652454780361756
11-3013,0.7751937984496124,0.7906976744186046,0.5129198966408268,0.8126614987080103,0.5904392764857881,0.6027131782945736,0.6828165374677002,0.7054263565891472,-0.0165293355468316,-0.0165293355468316,-0.022609819121446995,calibrated,0.2564599483204134,0.7,0.2,0.5204780361757105
11-3021,0.6272609819121447,0.3863049095607235,0.2532299741602067,0.7558139534883721,0.9799741602067183,0.8630490956072352,0.8036175710594315,0.46511627906976744,0.6308148050469018,0.6308148050469018,0.3385012919896641,calibrated,0.12661498708010335,0.7,0.2,0.6113695090439276
11-3031,0.6091731266149871,0.5361757105943152,0.0594315245478036,0.7170542635658915,0.7952196382428941,0.791343669250646,0.7021963824289406,0.4375538329026701,0.8169998084516912,0.8169998084516912,0.2646425495262705,calibrated,0.0297157622739018,0.7,0.2,0.6791989664082687
11-3051,0.7093023255813954,0.4289405684754522,0.4483204134366925,0.6795865633074936,0.8359173126614987,0.8423772609819121,0.772609819121447,0.5189491817398794,0.2544675774566078,0.2544675774566078,0.25366063738156763,calibrated,0.22416020671834624,0.7,0.2,0.5430878552971576
11-3061,0.8359173126614987,0.7887596899224806,0.0516795865633074,0.907622739018088,0.8578811369509044,0.2577519379844961,0.8468992248062015,0.582687338501292,0.823363148042167,0.823363148042167,0.26421188630490955,calibrated,0.0258397932816537,0.7,0.2,0.6819121447028424
11-3071,0.6808785529715762,0.599483204134367,0.1886304909560723,0.7674418604651163,0.7512919896640827,0.4205426356589147,0.7160852713178294,0.5185185185185185,0.5878861186898561,0.5878861186898561,0.1975667527993109,calibrated,0.09431524547803614,0.7,0.2,0.6339793281653746
11-3111,0.877906976744186,0.5562015503875969,0.0174418604651162,0.7028423772609819,0.7131782945736435,0.3972868217054263,0.7955426356589148,0.42549526270456495,0.838600281912829,0.838600281912829,0.37004737295434986,calibrated,0.0087209302325581,0.7,0.2,0.6938953488372093
11-3121,0.9354005167958656,0.8527131782945736,0.0930232558139534,0.9140826873385012,0.7635658914728682,0.5833333333333334,0.849483204134367,0.6199397071490095,0.7045869403415227,0.7045869403415227,0.22954349698535748,calibrated,0.0465116279069767,0.7,0.2,0.6674418604651162
11-3131,0.810077519379845,0.520671834625323,0.1098191214470284,0.9677002583979328,0.8236434108527132,0.0290697674418604,0.8168604651162791,0.532730404823428,0.7556525430591688,0.7556525430591688,0.28413006029285104,calibrated,0.0549095607235142,0.7,0.2,0.6615633074935401
11-9013,0.6027131782945736,0.5891472868217055,0.661498708010336,0.8152454780361758,0.45671834625323,0.6401808785529716,0.5297157622739018,0.6886304909560724,-0.2813757542860026,-0.2813757542860026,-0.1589147286821706,calibrated,0.330749354005168,0.7,0.2,0.46847545219638237
11-9021,0.8688630490956072,0.6905684754521964,0.4547803617571059,0.7286821705426356,0.4916020671834625,0.7687338501291989,0.6802325581395349,0.6246770025839793,0.0388926964705785,0.0388926964705785,0.05555555555555558,calibrated,0.22739018087855295,0.7,0.2,0.5408268733850129
11-9031,0.9160206718346252,0.962532299741602,0.3100775193798449,0.7868217054263565,0.4186046511627907,0.8488372093023255,0.6673126614987079,0.6864771748492678,0.1867237958679964,0.1867237958679964,-0.01916451335055991,calibrated,0.15503875968992245,0.7,0.2,0.5914728682170542
11-9032,0.9974160206718348,0.9870801033591732,0.2093023255813953,0.9748062015503876,0.6782945736434108,0.2047803617571059,0.8378552971576227,0.7237295434969854,0.4649640209640023,0.4649640209640023,0.11412575366063737,calibrated,0.10465116279069765,0.7,0.2,0.6267441860465116
11-9033,0.8423772609819121,0.6782945736434108,0.0374677002583979,0.9651162790697676,0.5290697674418605,0.541343669250646,0.6857235142118863,0.5602928509905255,0.7004065753416571,0.7004065753416571,0.12543066322136076,calibrated,0.01873385012919895,0.7,0.2,0.6868863049095607
11-9041,0.6589147286821705,0.4838501291989664,0.334625322997416,0.9198966408268734,0.9056847545219638,0.4534883720930232,0.7822997416020672,0.5794573643410853,0.4554478604381088,0.4554478604381088,0.20284237726098187,calibrated,0.167312661498708,0.7,0.2,0.5828811369509044
11-9051,0.4082687338501292,0.712532299741602,0.582687338501292,0.5839793281653747,0.2894056847545219,0.7093023255813954,0.34883720930232553,0.6263996554694229,-0.2596265868959735,-0.2596265868959735,-0.27756244616709735,calibrated,0.291343669250646,0.7,0.2,0.49605943152454784
