occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology,substitution_score,defense_score,net_risk,net_risk_calibrated,net_risk_uncalibrated,net_risk_source,aioe,occ_title
11-1011,0.8888888888888888,0.9108527131782944,0.0736434108527131,0.9748062015503876,0.7803617571059431,0.834625322997416,0.6531007751937984,0.7342567594167909,0.7342567594167909,0.1815245478036176,calibrated,1.334246,Chief Executives
11-1021,0.7848837209302325,0.661498708010336,0.2428940568475452,0.7338501291989664,0.6724806201550387,0.7286821705426356,0.5460809646856158,0.4571013499705048,0.4571013499705048,0.1826012058570197,calibrated,0.5748773,General and Operations Managers
11-2011,0.6363049095607235,0.7474160206718347,0.1136950904392764,0.9476744186046512,0.8527131782945736,0.7445090439276485,0.602928509905254,0.7314331080726519,0.7314331080726519,0.1415805340223944,calibrated,1.294387,Advertising and Promotions Managers
11-2021,0.4463824289405684,0.7571059431524548,0.0516795865633074,0.9560723514211886,0.8372093023255814,0.6417958656330749,0.5882859603789836,0.817797125131626,0.817797125131626,0.0535099052540912,calibrated,1.315032,Marketing Managers
11-2022,0.7054263565891473,0.8824289405684754,0.0348837209302325,0.9308785529715762,0.6524547803617571,0.6789405684754521,0.6160637381567614,0.7354243897405435,0.7354243897405435,0.0628768303186907,calibrated,1.26628,Sales Managers
11-3021,0.6272609819121447,0.3863049095607235,0.2532299741602067,0.7558139534883721,0.9799741602067183,0.8036175710594315,0.4651162790697674,0.6308148050469018,0.6308148050469018,0.3385012919896641,calibrated,1.059853,Computer and Information Systems Managers
11-3031,0.6091731266149871,0.5361757105943152,0.0594315245478036,0.7170542635658915,0.7952196382428941,0.7021963824289406,0.4375538329026701,0.8169998084516912,0.8169998084516912,0.2646425495262705,calibrated,1.446232,Financial Managers
11-3051,0.7093023255813954,0.4289405684754522,0.4483204134366925,0.6795865633074936,0.8359173126614987,0.772609819121447,0.5189491817398794,0.2544675774566078,0.2544675774566078,0.2536606373815676,calibrated,0.5086878,Industrial Production Managers
11-3061,0.8359173126614987,0.7887596899224806,0.0516795865633074,0.907622739018088,0.8578811369509044,0.8468992248062015,0.582687338501292,0.823363148042167,0.823363148042167,0.2642118863049095,calibrated,1.423426,Purchasing Managers
11-3071,0.6808785529715762,0.599483204134367,0.1886304909560723,0.7674418604651163,0.7512919896640827,0.7160852713178294,0.5185185185185185,0.5878861186898561,0.5878861186898561,0.1975667527993109,calibrated,0.8907923,"Transportation, Storage, and Distribution Managers"
11-3111,0.877906976744186,0.5562015503875969,0.0174418604651162,0.7028423772609819,0.7131782945736435,0.7955426356589148,0.4254952627045649,0.838600281912829,0.838600281912829,0.3700473729543498,calibrated,1.298235,Compensation and Benefits Managers
11-3121,0.9354005167958656,0.8527131782945736,0.0930232558139534,0.9140826873385012,0.7635658914728682,0.849483204134367,0.6199397071490095,0.7045869403415227,0.7045869403415227,0.2295434969853574,calibrated,1.320417,Human Resources Managers
11-3131,0.810077519379845,0.520671834625323,0.1098191214470284,0.9677002583979328,0.8236434108527132,0.8168604651162791,0.532730404823428,0.7556525430591688,0.7556525430591688,0.284130060292851,calibrated,1.284423,Training and Development Managers
11-9013,0.6027131782945736,0.5891472868217055,0.661498708010336,0.8152454780361758,0.45671834625323,0.5297157622739018,0.6886304909560724,-0.2813757542860026,-0.2813757542860026,-0.1589147286821706,calibrated,-0.1443684,"Farmers, Ranchers, and Other Agricultural Managers"
11-9021,0.8688630490956072,0.6905684754521964,0.4547803617571059,0.7286821705426356,0.4916020671834625,0.6802325581395349,0.6246770025839793,0.0388926964705785,0.0388926964705785,0.0555555555555555,calibrated,1.029139,Construction Managers
11-9031,0.9160206718346252,0.962532299741602,0.3100775193798449,0.7868217054263565,0.4186046511627907,0.6673126614987079,0.6864771748492678,0.1867237958679964,0.1867237958679964,-0.0191645133505599,calibrated,0.838007,"Education and Childcare Administrators, Preschool and Daycare"
11-9032,0.9974160206718348,0.9870801033591732,0.2093023255813953,0.9748062015503876,0.6782945736434108,0.8378552971576227,0.7237295434969854,0.4649640209640023,0.4649640209640023,0.1141257536606373,calibrated,1.048811,"Education Administrators, Kindergarten through Secondary"
11-9033,0.8423772609819121,0.6782945736434108,0.0374677002583979,0.9651162790697676,0.5290697674418605,0.6857235142118863,0.5602928509905255,0.7004065753416571,0.7004065753416571,0.1254306632213607,calibrated,1.461149,"Education Administrators, Postsecondary"
11-9041,0.6589147286821705,0.4838501291989664,0.334625322997416,0.9198966408268734,0.9056847545219638,0.7822997416020672,0.5794573643410853,0.4554478604381088,0.4554478604381088,0.2028423772609818,calibrated,0.8370105,Architectural and Engineering Managers
11-9051,0.4082687338501292,0.712532299741602,0.582687338501292,0.5839793281653747,0.2894056847545219,0.3488372093023255,0.6263996554694229,-0.2596265868959735,-0.2596265868959735,-0.2775624461670973,calibrated,-0.1213112,Food Service Managers
11-9071,0.6744186046511628,0.6944444444444444,0.3055555555555556,0.5232558139534884,0.6091731266149871,0.6417958656330749,0.5077519379844961,0.3251430524253791,0.3251430524253791,0.1340439276485787,calibrated,0.8299207,Gambling Managers
11-9081,0.8688630490956072,0.9263565891472868,0.3888888888888889,0.8869509043927648,0.7764857881136951,0.8226744186046511,0.734065460809647,0.2455774971569635,0.2455774971569635,0.0886089577950041,calibrated,0.4021726,Lodging Managers
11-9111,0.9780361757105944,0.8546511627906976,0.1808785529715762,0.7512919896640827,0.915374677002584,0.9467054263565892,0.5956072351421189,0.6434213135346118,0.6434213135346118,0.3510981912144704,calibrated,1.260259,Medical and Health Services Managers
11-9121,0.8798449612403101,0.5943152454780362,0.2028423772609819,0.7015503875968992,0.8591731266149871,0.8695090439276486,0.4995693367786391,0.6194780931130331,0.6194780931130331,0.3699397071490095,calibrated,1.327906,Natural Sciences Managers
11-9131,0.7797157622739018,0.7545219638242894,0.2881136950904392,0.5807493540051679,0.8158914728682171,0.7978036175710594,0.5411283376399655,0.4443290497143767,0.4443290497143767,0.2566752799310939,calibrated,0.8233757,Postmasters and Mail Superintendents
11-9141,0.6976744186046512,0.7015503875968992,0.0956072351421188,0.5406976744186046,0.4916020671834625,0.5946382428940569,0.4459517657192076,0.589408380817063,0.589408380817063,0.1486864771748492,calibrated,1.215396,"Property, Real Estate, and Community Association Managers"
11-9151,0.9250645994832042,0.9031007751937984,0.2170542635658914,0.917312661498708,0.7971576227390181,0.8611111111111112,0.6791559000861326,0.5231329551298027,0.5231329551298027,0.1819552110249785,calibrated,1.156153,Social and Community Service Managers
