area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year
99,U.S.,1,00-0000,All Occupations,154187380.0,67920.0,32.66,49500.0,23.8,29990.0,36730.0,78810.0,125720.0,2024
99,U.S.,1,11-0000,Management Occupations,10966830.0,141760.0,68.15,122090.0,58.7,57010.0,79900.0,171610.0,,2024
99,U.S.,1,11-1000,Top Executives,3822780.0,139860.0,67.24,104990.0,50.48,47510.0,68800.0,168490.0,,2024
99,U.S.,1,11-1010,Chief Executives,211850.0,262930.0,126.41,206420.0,99.24,73710.0,126080.0,,,2024
99,U.S.,1,11-1011,Chief Executives,211850.0,262930.0,126.41,206420.0,99.24,73710.0,126080.0,,,2024
99,U.S.,1,11-1020,General and Operations Managers,3584420.0,133120.0,64.0,102950.0,49.5,47420.0,67160.0,164130.0,,2024
99,U.S.,1,11-1021,General and Operations Managers,3584420.0,133120.0,64.0,102950.0,49.5,47420.0,67160.0,164130.0,,2024
99,U.S.,1,11-1030,Legislators,26510.0,67390.0,,44810.0,,20380.0,29120.0,80350.0,137820.0,2024
99,U.S.,1,11-1031,Legislators,26510.0,67390.0,,44810.0,,20380.0,29120.0,80350.0,137820.0,2024
99,U.S.,1,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1122770.0,163740.0,78.72,144530.0,69.48,73320.0,100740.0,204920.0,,2024
99,U.S.,1,11-2010,Advertising and Promotions Managers,21100.0,149270.0,71.76,126960.0,61.04,63000.0,85990.0,178570.0,,2024
99,U.S.,1,11-2011,Advertising and Promotions Managers,21100.0,149270.0,71.76,126960.0,61.04,63000.0,85990.0,178570.0,,2024
99,U.S.,1,11-2020,Marketing and Sales Managers,988680.0,165050.0,79.35,148870.0,71.57,73080.0,101200.0,206410.0,,2024
99,U.S.,1,11-2021,Marketing Managers,384980.0,171520.0,82.46,161030.0,77.42,81900.0,111210.0,211080.0,,2024
99,U.S.,1,11-2022,Sales Managers,603710.0,160930.0,77.37,138060.0,66.38,66910.0,95910.0,201490.0,,2024
99,U.S.,1,11-2030,Public Relations and Fundraising Managers,112980.0,154950.0,74.49,132870.0,63.88,76870.0,99190.0,182080.0,,2024
99,U.S.,1,11-2032,Public Relations Managers,76060.0,163520.0,78.61,138520.0,66.6,78880.0,102300.0,198000.0,,2024
99,U.S.,1,11-2033,Fundraising Managers,36920.0,137290.0,66.01,123480.0,59.36,73700.0,92880.0,166420.0,216660.0,2024
99,U.S.,1,11-3000,Operations Specialties Managers,2669000.0,160590.0,77.21,140330.0,67.46,78600.0,103030.0,195490.0,,2024
99,U.S.,1,11-3010,Administrative Services and Facilities Managers,395230.0,121920.0,58.62,106880.0,51.39,63940.0,82360.0,141650.0,188260.0,2024
99,U.S.,1,11-3012,Administrative Services Managers,254140.0,126030.0,60.59,108390.0,52.11,64740.0,83660.0,147150.0,200010.0,2024
99,U.S.,1,11-3013,Facilities Managers,141090.0,114520.0,55.06,104690.0,50.33,62550.0,80150.0,135650.0,173080.0,2024
99,U.S.,1,11-3020,Computer and Information Systems Managers,645970.0,187990.0,90.38,171200.0,82.31,104450.0,134350.0,216220.0,,2024
99,U.S.,1,11-3021,Computer and Information Systems Managers,645970.0,187990.0,90.38,171200.0,82.31,104450.0,134350.0,216220.0,,2024
99,U.S.,1,11-3030,Financial Managers,818620.0,180470.0,86.76,161700.0,77.74,86490.0,118360.0,214210.0,,2024
99,U.S.,1,11-3031,Financial Managers,818620.0,180470.0,86.76,161700.0,77.74,86490.0,118360.0,214210.0,,2024
99,U.S.,1,11-3050,Industrial Production Managers,234380.0,129180.0,62.11,121440.0,58.39,74900.0,94620.0,156330.0,197310.0,2024
99,U.S.,1,11-3051,Industrial Production Managers,234380.0,129180.0,62.11,121440.0,58.39,74900.0,94620.0,156330.0,197310.0,2024
99,U.S.,1,11-3060,Purchasing Managers,81240.0,150630.0,72.42,139510.0,67.07,85500.0,107430.0,175460.0,219140.0,2024
99,U.S.,1,11-3061,Purchasing Managers,81240.0,150630.0,72.42,139510.0,67.07,85500.0,107430.0,175460.0,219140.0,2024
99,U.S.,1,11-3070,"Transportation, Storage, and Distribution Managers",213000.0,116010.0,55.77,102010.0,49.05,61200.0,78360.0,136050.0,180590.0,2024
99,U.S.,1,11-3071,"Transportation, Storage, and Distribution Managers",213000.0,116010.0,55.77,102010.0,49.05,61200.0,78360.0,136050.0,180590.0,2024
99,U.S.,1,11-3110,Compensation and Benefits Managers,20070.0,156230.0,75.11,140360.0,67.48,81660.0,105210.0,190890.0,,2024
99,U.S.,1,11-3111,Compensation and Benefits Managers,20070.0,156230.0,75.11,140360.0,67.48,81660.0,105210.0,190890.0,,2024
99,U.S.,1,11-3120,Human Resources Managers,215520.0,160480.0,77.15,140030.0,67.32,83790.0,105590.0,189960.0,,2024
99,U.S.,1,11-3121,Human Resources Managers,215520.0,160480.0,77.15,140030.0,67.32,83790.0,105590.0,189960.0,,2024
99,U.S.,1,11-3130,Training and Development Managers,44960.0,140590.0,67.59,127090.0,61.1,75810.0,96110.0,169310.0,219990.0,2024
99,U.S.,1,11-3131,Training and Development Managers,44960.0,140590.0,67.59,127090.0,61.1,75810.0,96110.0,169310.0,219990.0,2024
99,U.S.,1,11-9000,Other Management Occupations,3352280.0,121560.0,58.44,104030.0,50.01,54440.0,75640.0,154090.0,205860.0,2024
99,U.S.,1,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",5910.0,97240.0,46.75,87980.0,42.3,51700.0,67970.0,115200.0,156530.0,2024
99,U.S.,1,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",5910.0,97240.0,46.75,87980.0,42.3,51700.0,67970.0,115200.0,156530.0,2024
99,U.S.,1,11-9020,Construction Managers,348330.0,119660.0,57.53,106980.0,51.43,65160.0,83480.0,139330.0,176990.0,2024
99,U.S.,1,11-9021,Construction Managers,348330.0,119660.0,57.53,106980.0,51.43,65160.0,83480.0,139330.0,176990.0,2024
99,U.S.,1,11-9030,Education and Childcare Administrators,621000.0,109470.0,52.63,100650.0,48.39,55880.0,77100.0,131190.0,168460.0,2024
99,U.S.,1,11-9031,"Education and Childcare Administrators, Preschool and Daycare",71620.0,62640.0,30.12,56270.0,27.05,37060.0,45310.0,72690.0,96400.0,2024
99,U.S.,1,11-9032,"Education Administrators, Kindergarten through Secondary",319630.0,113360.0,,104070.0,,72400.0,83840.0,132550.0,165820.0,2024
99,U.S.,1,11-9033,"Education Administrators, Postsecondary",176420.0,124450.0,59.83,103960.0,49.98,63820.0,79880.0,140940.0,212420.0,2024
99,U.S.,1,11-9039,"Education Administrators, All Other",53330.0,99460.0,47.82,89040.0,42.81,49490.0,65180.0,121720.0,158050.0,2024
99,U.S.,1,11-9040,Architectural and Engineering Managers,210340.0,175710.0,84.48,167740.0,80.64,111450.0,134930.0,207210.0,,2024
99,U.S.,1,11-9041,Architectural and Engineering Managers,210340.0,175710.0,84.48,167740.0,80.64,111450.0,134930.0,207210.0,,2024
99,U.S.,1,11-9050,Food Service Managers,244230.0,72370.0,34.79,65310.0,31.4,42380.0,53090.0,82300.0,105420.0,2024
99,U.S.,1,11-9051,Food Service Managers,244230.0,72370.0,34.79,65310.0,31.4,42380.0,53090.0,82300.0,105420.0,2024
99,U.S.,1,11-9070,Entertainment and Recreation Managers,41320.0,88780.0,42.68,77650.0,37.33,46080.0,59450.0,102890.0,137940.0,2024
99,U.S.,1,11-9071,Gambling Managers,4620.0,102480.0,49.27,85580.0,41.14,51670.0,70190.0,120490.0,165220.0,2024
99,U.S.,1,11-9072,"Entertainment and Recreation Managers, Except Gambling",36700.0,87060.0,41.86,77180.0,37.11,45320.0,58380.0,101750.0,134680.0,2024
99,U.S.,1,11-9080,Lodging Managers,41350.0,77460.0,37.24,68130.0,32.76,39490.0,50040.0,90670.0,126990.0,2024
99,U.S.,1,11-9081,Lodging Managers,41350.0,77460.0,37.24,68130.0,32.76,39490.0,50040.0,90670.0,126990.0,2024
99,U.S.,1,11-9110,Medical and Health Services Managers,565840.0,137730.0,66.22,117960.0,56.71,69680.0,88560.0,162420.0,219080.0,2024
99,U.S.,1,11-9111,Medical and Health Services Managers,565840.0,137730.0,66.22,117960.0,56.71,69680.0,88560.0,162420.0,219080.0,2024
