season,celebrity_name,ballroom_partner,week,score_week_total,num_judges,has_bonus,active,elimination_week,eliminated,finals_week,placement,results
1,Evander Holyfield,Edyta Sliwinska,1,18.0,3,0,1,3.0,0,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,2,14.0,3,0,1,3.0,0,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,3,13.0,3,0,1,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,4,0.0,3,0,0,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,5,0.0,3,0,0,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,6,0.0,3,0,0,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,7,0.0,0,0,0,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,8,0.0,0,0,0,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,9,0.0,0,0,0,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,10,0.0,0,0,0,3.0,1,5,5,Eliminated Week 3
1,Evander Holyfield,Edyta Sliwinska,11,0.0,0,0,0,3.0,1,5,5,Eliminated Week 3
1,Joey McIntyre,Ashly DelGrosso,1,20.0,3,0,1,6.0,0,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,2,21.0,3,0,1,6.0,0,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,3,22.0,3,0,1,6.0,0,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,4,20.0,3,0,1,6.0,0,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,5,22.5,3,1,1,6.0,0,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,6,0.0,3,0,0,6.0,1,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,7,0.0,0,0,0,6.0,1,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,8,0.0,0,0,0,6.0,1,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,9,0.0,0,0,0,6.0,1,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,10,0.0,0,0,0,6.0,1,5,3,3rd Place
1,Joey McIntyre,Ashly DelGrosso,11,0.0,0,0,0,6.0,1,5,3,3rd Place
1,John O'Hurley,Charlotte Jorgensen,1,20.0,3,0,1,7.0,0,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,2,26.0,3,0,1,7.0,0,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,3,24.0,3,0,1,7.0,0,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,4,21.0,3,0,1,7.0,0,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,5,27.0,3,0,1,7.0,0,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,6,27.0,3,0,1,7.0,0,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,7,0.0,0,0,0,7.0,1,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,8,0.0,0,0,0,7.0,1,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,9,0.0,0,0,0,7.0,1,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,10,0.0,0,0,0,7.0,1,5,2,2nd Place
1,John O'Hurley,Charlotte Jorgensen,11,0.0,0,0,0,7.0,1,5,2,2nd Place
1,Kelly Monaco,Alec Mazo,1,13.0,3,0,1,7.0,0,5,1,1st Place
1,Kelly Monaco,Alec Mazo,2,17.0,3,0,1,7.0,0,5,1,1st Place
1,Kelly Monaco,Alec Mazo,3,21.0,3,0,1,7.0,0,5,1,1st Place
1,Kelly Monaco,Alec Mazo,4,26.0,3,0,1,7.0,0,5,1,1st Place
1,Kelly Monaco,Alec Mazo,5,23.5,3,1,1,7.0,0,5,1,1st Place
1,Kelly Monaco,Alec Mazo,6,27.5,3,1,1,7.0,0,5,1,1st Place
1,Kelly Monaco,Alec Mazo,7,0.0,0,0,0,7.0,1,5,1,1st Place
1,Kelly Monaco,Alec Mazo,8,0.0,0,0,0,7.0,1,5,1,1st Place
1,Kelly Monaco,Alec Mazo,9,0.0,0,0,0,7.0,1,5,1,1st Place
1,Kelly Monaco,Alec Mazo,10,0.0,0,0,0,7.0,1,5,1,1st Place
1,Kelly Monaco,Alec Mazo,11,0.0,0,0,0,7.0,1,5,1,1st Place
1,Rachel Hunter,Jonathan Roberts,1,20.0,3,0,1,4.0,0,5,4,Eliminated Week 4
1,Rachel Hunter,Jonathan Roberts,2,24.0,3,0,1,4.0,0,5,4,Eliminated Week 4
1,Rachel Hunter,Jonathan Roberts,3,26.0,3,0,1,4.0,0,5,4,Eliminated Week 4
1,Rachel Hunter,Jonathan Roberts,4,25.0,3,0,1,4.0,1,5,4,Eliminated Week 4
1,Rachel Hunter,Jonathan Roberts,5,0.0,3,0,0,4.0,1,5,4,Eliminated Week 4
1,Rachel Hunter,Jonathan Roberts,6,0.0,3,0,0,4.0,1,5,4,Eliminated Week 4
1,Rachel Hunter,Jonathan Roberts,7,0.0,0,0,0,4.0,1,5,4,Eliminated Week 4
