season,week,celebrity_name,ballroom_partner,J,f,j_share,combined_approx,is_eliminated_this_week
11,1,Audrina Patridge,Tony Dovolani,19.0,0.0,0.08370044052863436,0.08370044052863436,False
11,1,Brandy,Maksim Chmerkoskiy,23.0,0.0,0.1013215859030837,0.1013215859030837,False
11,1,Bristol Palin,Mark Ballas,18.0,3.954450846490451e-09,0.07929515418502203,0.07929515813947288,False
11,1,David Hasselhoff,Kym Johnson,15.0,0.0,0.06607929515418502,0.06607929515418502,True
11,1,Florence Henderson,Corky Ballas,18.0,0.0,0.07929515418502203,0.07929515418502203,False
11,1,Jennifer Grey,Derek Hough,24.0,0.0,0.10572687224669604,0.10572687224669604,False
11,1,Kurt Warner,Anna Trebunskaya,19.0,0.0,0.08370044052863436,0.08370044052863436,False
11,1,Kyle Massey,Lacey Schwimmer,23.0,0.9999999960455492,0.1013215859030837,1.1013215819486328,False
11,1,Margaret Cho,Louis van Amstel,15.0,0.0,0.06607929515418502,0.06607929515418502,False
11,1,Michael Bolton,Chelsie Hightower,16.0,0.0,0.07048458149779736,0.07048458149779736,False
11,1,Rick Fox,Cheryl Burke,22.0,0.0,0.09691629955947137,0.09691629955947137,False
11,1,The Situation,Karina Smirnoff,15.0,0.0,0.06607929515418502,0.06607929515418502,False
11,2,Audrina Patridge,Tony Dovolani,23.0,0.0,0.10407239819004525,0.10407239819004525,False
11,2,Brandy,Maksim Chmerkoskiy,21.0,0.0,0.09502262443438914,0.09502262443438914,False
11,2,Bristol Palin,Mark Ballas,22.0,3.697222048063573e-172,0.09954751131221719,0.09954751131221719,False
11,2,Florence Henderson,Corky Ballas,19.0,0.0,0.08597285067873303,0.08597285067873303,False
11,2,Jennifer Grey,Derek Hough,24.0,0.0,0.1085972850678733,0.1085972850678733,False
11,2,Kurt Warner,Anna Trebunskaya,21.0,0.0,0.09502262443438914,0.09502262443438914,False
11,2,Kyle Massey,Lacey Schwimmer,22.0,1.0,0.09954751131221719,1.0995475113122173,False
11,2,Margaret Cho,Louis van Amstel,18.0,0.0,0.08144796380090498,0.08144796380090498,False
11,2,Michael Bolton,Chelsie Hightower,12.0,0.0,0.05429864253393665,0.05429864253393665,True
11,2,Rick Fox,Cheryl Burke,21.0,0.0,0.09502262443438914,0.09502262443438914,False
