season,celebrity_name,ballroom_partner,results,placement,week,judge_id,score
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,1,1,7.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,1,2,7.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,1,3,6.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,1,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,2,1,8.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,2,2,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,2,3,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,2,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,3,1,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,3,2,8.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,3,3,7.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,3,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,4,1,7.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,4,2,8.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,4,3,6.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,4,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,5,1,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,5,2,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,5,3,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,5,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,6,1,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,6,2,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,6,3,9.0
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,6,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,7,1,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,7,2,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,7,3,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,7,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,8,1,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,8,2,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,8,3,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,8,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,9,1,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,9,2,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,9,3,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,9,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,10,1,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,10,2,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,10,3,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,10,4,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,11,1,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,11,2,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,11,3,
1,John O'Hurley,Charlotte Jorgensen,2nd Place,2,11,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,1,1,5.0
1,Kelly Monaco,Alec Mazo,1st Place,1,1,2,4.0
1,Kelly Monaco,Alec Mazo,1st Place,1,1,3,4.0
1,Kelly Monaco,Alec Mazo,1st Place,1,1,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,2,1,5.0
1,Kelly Monaco,Alec Mazo,1st Place,1,2,2,6.0
1,Kelly Monaco,Alec Mazo,1st Place,1,2,3,6.0
1,Kelly Monaco,Alec Mazo,1st Place,1,2,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,3,1,6.0
1,Kelly Monaco,Alec Mazo,1st Place,1,3,2,7.0
1,Kelly Monaco,Alec Mazo,1st Place,1,3,3,8.0
1,Kelly Monaco,Alec Mazo,1st Place,1,3,4,
1,Kelly Monaco,Alec Mazo,1st Place,1,4,1,9.0
