pro_dancer,judge_FE,fan_FE,fan_minus_judge,rank_fan,rank_judge,rank_gap
Brian Fortuna,-0.7697789799610585,-2.731633842331511,-1.9618548623704526,55,52,3
Allison Holker,0.3932114035185985,-1.666101848973686,-2.0593132524922844,45,9,36
Nick Kosovich,0.29463030810922736,-1.8713198960703443,-2.1659502041795715,47,14,33
Sharna Burgess,0.019187705778248774,-2.3602303229234094,-2.379418028701658,53,31,22
Daniella Karagach,-0.018179230939841057,-2.505876907910896,-2.487697676971055,54,34,20
Sasha Farber,0.27996222886827815,-2.217948026996843,-2.497910255865121,51,16,35
Rylee Arnold,-0.9224022479506075,-3.8008718009835554,-2.878469553032948,59,53,6
Ezra Sosa (Apolo Anton Ohno week 9),0.1409238849475535,-2.8985103056965884,-3.0394341906441418,56,23,33
Val Chmerkovskiy (Joey Graziadei week 9),0.43241813390073347,-2.9843822130183253,-3.4168003469190587,57,6,51
Charlotte Jorgensen,0.7519122197442638,-3.3801799812120725,-4.132092200956336,58,2,56
