pro_dancer,judge_FE,fan_FE,fan_minus_judge,rank_fan,rank_judge,rank_gap
Witney Carson (Xoshitl Gomez week 9),0.1996705413652032,20.70551805281115,20.505847511445946,1,20,-19
Corky Ballas,0.4181176721181112,10.048719977791373,9.630602305673262,2,7,-5
Julianne Hough,0.06943854673579224,8.223984178412774,8.154545631676982,3,26,-23
Emma Slater/Kaitlyn Bristowe (week 9),-1.1087922574071354,6.903110695442236,8.011902952849372,4,56,-52
Henry Byalikov,-0.036529506467631936,6.88346739342711,6.919996899894742,5,36,-31
Tyne Stecklein,-1.1039601239854355,5.673052443106807,6.7770125670922425,8,55,-47
Chelsie Hightower,-0.2725452399784821,6.031047380884608,6.303592620863091,7,44,-37
Tristan MacManus,0.06614787400581652,6.341286797563066,6.2751389235572494,6,27,-21
Anna Trebunskaya,-0.09687818090858073,5.161669529332354,5.258547710240935,9,38,-29
Lacey Schwimmer,-0.3622769023700239,4.543141420946752,4.905418323316776,10,46,-36
Alec Mazo,-0.17315780789633087,4.3605662274309225,4.533724035327253,11,40,-29
Karina Smirnoff,0.041737292439309154,3.7168537806016113,3.675116488162302,13,29,-16
Mark Ballas,0.3675221549755129,3.857759096620142,3.490236941644629,12,10,2
Kym Herjavec,-0.5261222602675217,2.842918574749692,3.3690408350172136,15,48,-33
Anna Demidova,-0.7653083905101455,2.315988787324733,3.0812971778348786,18,51,-33
Alan Bersten (Rashad Jennings week 9),0.33637017710637196,3.3371625902623263,3.0007924131559545,14,11,3
Andrea Hale,-1.5342207025010481,1.302070778355782,2.83629148085683,25,59,-34
Elena Grinenko,-1.475761998316261,1.2213558200262358,2.697117818342497,26,57,-31
Inna Brayer,-0.011062702139747492,2.4131940201623125,2.42425672230206,16,33,-17
Damian Whitewood,0.5086677697967747,2.3767218717847873,1.8680541019880126,17,4,13
Tony Dovolani,0.15189244688543688,1.9710130686075464,1.8191206217221096,20,22,-2
Valentin Chmerkovskiy,0.46011310343503603,2.1144306170519753,1.6543175136169392,19,5,14
Louis van Amstel,-0.19244914085132436,1.4450403978636224,1.6374895387149468,23,41,-18
Val Chmerkovskiy,0.25886812205862725,1.810364614274399,1.5514964922157717,21,17,4
Emma Slater,-0.06699488615569306,1.4211023172121304,1.4880972033678235,24,37,-13
Ashly DelGrosso,-0.7375870565957321,0.636744040603055,1.374331097198787,30,50,-20
Brandon Armstrong,0.2460599838324315,1.5633786865247459,1.3173187026923143,22,19,3
Edyta Sliwinska,-0.12436259792078015,0.9700252972633401,1.0943878951841202,29,39,-10
Jonathan Roberts,0.07395813092935352,0.9730012935243836,0.89904316259503,28,25,3
Kym Johnson,0.3260698465526428,1.0637503023775094,0.7376804558248666,27,12,15
Cheryl Burke,0.13030823388631985,0.365831997660974,0.23552376377465417,31,24,7
Jenna Johnson,0.18673670029285763,0.31629616948384826,0.12955946919099062,32,21,11
Peta Murgatroyd,0.022346156922118665,0.09809200120030916,0.07574584427819049,33,30,3
Koko Iwasaki,-1.4938231310079852,-1.6095459301698343,-0.11572279916184902,44,58,-14
Fabian Sanchez,-0.23324917283904154,-0.44255793508773694,-0.2093087622486954,40,43,-3
Daniella Karagach (Rumer Willis week 9),-0.02069975882277484,-0.3572072935311382,-0.33650753470836337,37,35,2
Gleb Savchenko,0.052406205803896044,-0.4139632617704158,-0.46636946757431186,39,28,11
Maksim Chmerkoskiy,0.3188680068284866,-0.18514651203100188,-0.5040145188594884,35,13,22
Pasha Pashkov,0.24708581566819385,-0.33926311839629847,-0.5863489340644923,36,18,18
Ezra Sosa,-1.037913216821845,-1.7259615977442038,-0.6880483809223588,46,54,-8
Witney Carson,0.2886285569390836,-0.47962341651229135,-0.768251973451375,41,15,26
Derek Hough,0.8486633141702123,-0.09008043200571374,-0.938743746175926,34,1,33
Artem Chigvintsev,0.5537653774693099,-0.3900946624578808,-0.9438600399271907,38,3,35
Lindsay Arnold,0.008518583440640172,-1.1062809738216854,-1.1147995572623257,42,32,10
Jan Ravnik,-0.5626822130381207,-2.027937139807237,-1.4652549267691164,49,49,0
Jesse DeSoto,-0.516830803037116,-2.0436219345201265,-1.5267911314830105,50,47,3
Britt Stewart,-0.20352378125100054,-1.9425957860022371,-1.7390720047512367,48,42,6
Dmitry Chaplin,0.3977280721257306,-1.531291027538624,-1.9290190996643546,43,8,35
Keo Motsepe,-0.27601728171166245,-2.232576527592854,-1.9565592458811918,52,45,7
Brian Fortuna,-0.7697789799610585,-2.731633842331511,-1.9618548623704526,55,52,3
Allison Holker,0.3932114035185985,-1.666101848973686,-2.0593132524922844,45,9,36
Nick Kosovich,0.29463030810922736,-1.8713198960703443,-2.1659502041795715,47,14,33
Sharna Burgess,0.019187705778248774,-2.3602303229234094,-2.379418028701658,53,31,22
Daniella Karagach,-0.018179230939841057,-2.505876907910896,-2.487697676971055,54,34,20
Sasha Farber,0.27996222886827815,-2.217948026996843,-2.497910255865121,51,16,35
Rylee Arnold,-0.9224022479506075,-3.8008718009835554,-2.878469553032948,59,53,6
Ezra Sosa (Apolo Anton Ohno week 9),0.1409238849475535,-2.8985103056965884,-3.0394341906441418,56,23,33
Val Chmerkovskiy (Joey Graziadei week 9),0.43241813390073347,-2.9843822130183253,-3.4168003469190587,57,6,51
Charlotte Jorgensen,0.7519122197442638,-3.3801799812120725,-4.132092200956336,58,2,56
