season,celebrity_name,ballroom_partner,week,score_week_total,num_judges,has_bonus,active,elimination_week,eliminated,finals_week,placement,results,contestant_id,age,industry_dummy,z_J,p_prev,underdog,S,region_us,log_f_ratio,f
1,Evander Holyfield,Edyta Sliwinska,1,18.0,3,0,1,3.0,0,5,5,Eliminated Week 3,0,42,0,0.9,0.0,1.0,-0.06726727939963172,1,-3.837641821656742,1e-10
1,Evander Holyfield,Edyta Sliwinska,2,14.0,3,0,1,3.0,0,5,5,Eliminated Week 3,0,42,0,0.5384615384615384,4.5,1.0,-1.5194078903533865,1,-3.837641821656742,1e-10
1,Evander Holyfield,Edyta Sliwinska,3,13.0,3,0,1,3.0,1,5,5,Eliminated Week 3,0,42,0,0.5,6.0,1.0,-1.8446772097299746,1,-4.60517018598809,1e-10
1,Joey McIntyre,Ashly DelGrosso,1,20.0,3,0,1,6.0,0,5,3,3rd Place,1,32,0,1.0,0.0,0.0,0.7399400733959433,1,-3.837641821656742,1e-10
1,Joey McIntyre,Ashly DelGrosso,2,21.0,3,0,1,6.0,0,5,3,3rd Place,1,32,0,0.8076923076923077,2.0,0.0,0.20532539058829513,1,-3.837641821656742,1e-10
1,Joey McIntyre,Ashly DelGrosso,3,22.0,3,0,1,6.0,0,5,3,3rd Place,1,32,0,0.8461538461538461,3.0,1.0,0.17996850826633917,1,-4.60517018598809,1e-10
1,Joey McIntyre,Ashly DelGrosso,4,20.0,3,0,1,6.0,0,5,3,3rd Place,1,32,0,0.7692307692307693,3.0,1.0,-1.1766968108291043,1,-5.756462732485114,1e-10
1,Joey McIntyre,Ashly DelGrosso,5,22.5,3,1,1,6.0,0,5,3,3rd Place,1,32,0,0.8333333333333334,4.0,1.0,-0.9502552681394955,1,-7.6752836433134854,1e-10
1,John O'Hurley,Charlotte Jorgensen,1,20.0,3,0,1,7.0,0,5,2,2nd Place,2,50,1,1.0,0.0,0.0,0.7399400733959433,1,-3.837641821656742,1e-10
1,John O'Hurley,Charlotte Jorgensen,2,26.0,3,0,1,7.0,0,5,2,2nd Place,2,50,1,1.0,2.0,0.0,1.4372777341180678,1,-3.837641821656742,1e-10
1,John O'Hurley,Charlotte Jorgensen,3,24.0,3,0,1,7.0,0,5,2,2nd Place,2,50,1,0.9230769230769231,1.0,0.0,0.6298897789321867,1,-4.60517018598809,1e-10
1,John O'Hurley,Charlotte Jorgensen,4,21.0,3,0,1,7.0,0,5,2,2nd Place,2,50,1,0.8076923076923077,2.0,1.0,-0.7844645405527362,1,-5.756462732485114,1e-10
1,John O'Hurley,Charlotte Jorgensen,5,27.0,3,0,1,7.0,0,5,2,2nd Place,2,50,1,1.0,3.0,0.0,1.3821894809301767,1,-7.6752836433134854,1e-10
