Importance,Category,Task
93,Core,"Write fiction or nonfiction prose, such as short stories, novels, biographies, articles, descriptive or critical analyses, and essays."
92,Core,"Develop factors such as themes, plots, characterizations, psychological analyses, historical environments, action, and dialogue to create material."
91,Core,"Revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers."
89,Core,"Choose subject matter and suitable form to express personal feelings and experiences or ideas, or to narrate stories or events."
86,Core,"Prepare works in appropriate format for publication, and send them to publishers or producers."
84,Core,"Conduct research to obtain factual information and authentic detail, using sources such as newspaper accounts, diaries, and interviews."
81,Core,"Confer with clients, editors, publishers, or producers to discuss changes or revisions to written material."
75,Core,"Plan project arrangements or outlines, and organize material accordingly."
62,Core,Follow appropriate procedures to get copyrights for completed work.
50,Core,"Attend book launches and publicity events, or conduct public readings."
84,Supplemental,"Write narrative, dramatic, lyric, or other types of poetry for publication."
82,Supplemental,"Write words to fit musical compositions, including lyrics for operas, musical plays, and choral works."
82,Supplemental,Adapt text to accommodate musical requirements of composers and singers.
60,Supplemental,"Write humorous material for publication, or for performances such as comedy routines, gags, and comedy shows."
46,Supplemental,Teach writing classes.
43,Supplemental,Collaborate with other writers on specific projects.
