Importance,Category,Task
77,Core,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.
73,Core,"Develop or direct software system testing or validation procedures, programming, or documentation."
69,Core,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces."
69,Core,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance."
67,Core,"Prepare reports or correspondence concerning project specifications, activities, or status."
65,Core,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system."
65,Core,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements."
64,Core,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design."
63,Core,Determine system performance standards.
59,Core,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance."
58,Core,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.
78,Supplemental,Monitor functioning of equipment to ensure system operates in conformance with specifications.
69,Supplemental,Coordinate installation of software system.
63,Supplemental,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel."
53,Supplemental,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel."
52,Supplemental,"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration."
48,Supplemental,Train users to use new or modified equipment.
