Section,Category,Example
Technology,Access software,Citrix cloud computing software
Technology,Access software,PuTTY
Technology,Administration software,Software distribution management software
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,TensorFlow
Technology,Analytical or scientific software,The MathWorks MATLAB
Technology,Application server software,Atlassian Bitbucket
Technology,Application server software,GitLab
Technology,Application server software,Kubernetes
Technology,Application server software,Red Hat OpenShift
Technology,Authentication server software,Single sign-on SSO
Technology,Backup or archival software,Backup and archival software
Technology,Backup or archival software,Veritas NetBackup
Technology,Business intelligence and data analysis software,Alteryx software
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,Microsoft Power BI
Technology,Business intelligence and data analysis software,Tableau
Technology,Cloud-based data access and sharing software,Dropbox
Technology,Cloud-based data access and sharing software,Google Drive
Technology,Cloud-based data access and sharing software,Platform as a service PaaS
Technology,Cloud-based data access and sharing software,Slack
Technology,Cloud-based management software,Amazon Web Services AWS CloudFormation
Technology,Cloud-based management software,IBM WebSphere MQ
Technology,Cloud-based management software,Oracle Cloud software
Technology,Cloud-based management software,Splunk Enterprise
Technology,Clustering software,VMware
Technology,Communications server software,IBM Domino
Technology,Computer based training software,Moodle
Technology,Configuration management software,Chef
Technology,Configuration management software,IBM Terraform
Technology,Configuration management software,Perforce Helix software
Technology,Configuration management software,Puppet
Technology,Content workflow software,Atlassian JIRA
Technology,Content workflow software,Emerald Software Group Emerald Green Office
Technology,Customer relationship management CRM software,Blackbaud The Raiser's Edge
Technology,Customer relationship management CRM software,Oracle Eloqua
Technology,Customer relationship management CRM software,Salesforce software
Technology,Data base management system software,Amazon DynamoDB
Technology,Data base management system software,Oracle Database
Technology,Data base management system software,Oracle PL/SQL
Technology,Data base management system software,Redis
Technology,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
Technology,Data base reporting software,Oracle Business Intelligence Discoverer
Technology,Data base reporting software,SAP Business Intelligence
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,Airtable
Technology,Data base user interface and query software,Blackboard software
Technology,Data base user interface and query software,GraphQL
Technology,Data base user interface and query software,PyTorch
Technology,Data mining software,Google Analytics
Technology,Data mining software,Snowflake
Technology,Desktop communications software,Skype
Technology,Desktop publishing software,Adobe InDesign
Technology,Desktop publishing software,Microsoft Publisher
Technology,Development environment software,Apache Kafka
Technology,Development environment software,Apache Maven
