area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
99,U.S.,1,47-2111,Electricians,742580.0,69630.0,33.47,62350.0,29.98,39430.0,48820.0,81730.0,106030.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
99,U.S.,1,47-3013,Helpers--Electricians,64440.0,42900.0,20.62,39890.0,19.18,31200.0,36400.0,47520.0,56770.0,2024,66.6,66.7,0.2,6.8,2.2,4.6,10.2,0.00015004879371782742
1,Alabama,2,47-2111,Electricians,9740.0,56340.0,27.09,52420.0,25.2,37060.0,44670.0,63730.0,76390.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
2,Alaska,2,47-2111,Electricians,1820.0,83520.0,40.15,81860.0,39.36,49820.0,61110.0,98740.0,114480.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
4,Arizona,2,47-2111,Electricians,21280.0,61520.0,29.58,59480.0,28.6,44240.0,48510.0,73060.0,81370.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
5,Arkansas,2,47-2111,Electricians,8670.0,52860.0,25.41,49420.0,23.76,35490.0,38470.0,62030.0,73060.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
6,California,2,47-2111,Electricians,73420.0,85780.0,41.24,76540.0,36.8,46630.0,59420.0,103720.0,136710.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
9,Connecticut,2,47-2111,Electricians,7570.0,74170.0,35.66,76790.0,36.92,46810.0,61770.0,89740.0,99340.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
10,Delaware,2,47-2111,Electricians,2220.0,67900.0,32.64,62970.0,30.28,38730.0,49650.0,78340.0,105110.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
11,District of Columbia,2,47-2111,Electricians,2130.0,90800.0,43.66,81950.0,39.4,51480.0,68840.0,119800.0,124490.0,2024,818.7,896.1,9.5,81.0,27.0,46.2,8.5,0.009074354314209776
