area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
99,U.S.,1,15-1251,Computer Programmers,109870.0,103640.0,49.83,98670.0,47.44,52190.0,71860.0,128960.0,162090.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
99,U.S.,1,15-1252,Software Developers,1654440.0,144570.0,69.5,133080.0,63.98,79850.0,103050.0,169000.0,211450.0,2024,1693.8,1961.4,15.8,115.2,30.7,57.7,4.8,0.014776506742768758
1,Alabama,2,15-1251,Computer Programmers,1360.0,90900.0,43.7,87230.0,41.94,49950.0,65100.0,110500.0,134330.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
2,Alaska,2,15-1251,Computer Programmers,520.0,91550.0,44.01,88930.0,42.75,54500.0,66780.0,112000.0,131660.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
4,Arizona,2,15-1251,Computer Programmers,4170.0,79220.0,38.09,71930.0,34.58,37270.0,39990.0,116550.0,125050.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
5,Arkansas,2,15-1251,Computer Programmers,1140.0,107330.0,51.6,100670.0,48.4,61650.0,66920.0,132840.0,162090.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
6,California,2,15-1251,Computer Programmers,14720.0,120060.0,57.72,116220.0,55.87,65510.0,82030.0,150970.0,176990.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
9,Connecticut,2,15-1251,Computer Programmers,1460.0,113290.0,54.47,100510.0,48.32,76970.0,83190.0,130060.0,165530.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
10,Delaware,2,15-1251,Computer Programmers,370.0,106800.0,51.34,100700.0,48.41,66140.0,78020.0,135770.0,146620.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
11,District of Columbia,2,15-1251,Computer Programmers,1000.0,99070.0,47.63,82580.0,39.7,81680.0,82580.0,112110.0,145650.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
12,Florida,2,15-1251,Computer Programmers,4700.0,102550.0,49.3,98630.0,47.42,52700.0,71010.0,121910.0,150380.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
13,Georgia,2,15-1251,Computer Programmers,2330.0,99580.0,47.88,97970.0,47.1,61090.0,75080.0,115110.0,137830.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
15,Hawaii,2,15-1251,Computer Programmers,,106390.0,51.15,108040.0,51.94,84980.0,85950.0,110250.0,147550.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
16,Idaho,2,15-1251,Computer Programmers,170.0,89030.0,42.81,80390.0,38.65,52680.0,64080.0,103340.0,150510.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
17,Illinois,2,15-1251,Computer Programmers,1470.0,91450.0,43.96,83460.0,40.13,53000.0,65400.0,110420.0,137880.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
18,Indiana,2,15-1251,Computer Programmers,2120.0,90060.0,43.3,83670.0,40.23,52610.0,66310.0,107320.0,131040.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
19,Iowa,2,15-1251,Computer Programmers,1020.0,88310.0,42.46,84730.0,40.74,55230.0,70070.0,100970.0,128190.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
20,Kansas,2,15-1251,Computer Programmers,600.0,98990.0,47.59,91600.0,44.04,57170.0,72840.0,116360.0,136580.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
21,Kentucky,2,15-1251,Computer Programmers,1640.0,111310.0,53.51,104840.0,50.4,62080.0,84320.0,137650.0,157280.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
22,Louisiana,2,15-1251,Computer Programmers,1640.0,105250.0,50.6,83980.0,40.38,50770.0,64100.0,115270.0,,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
23,Maine,2,15-1251,Computer Programmers,420.0,109830.0,52.8,103110.0,49.57,50050.0,78420.0,127120.0,185870.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
24,Maryland,2,15-1251,Computer Programmers,2360.0,107650.0,51.76,103000.0,49.52,57200.0,80670.0,131160.0,164700.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
25,Massachusetts,2,15-1251,Computer Programmers,3040.0,120360.0,57.86,115200.0,55.39,76720.0,99800.0,139950.0,163460.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
26,Michigan,2,15-1251,Computer Programmers,5350.0,72480.0,34.85,68790.0,33.07,34490.0,55360.0,82860.0,116240.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
27,Minnesota,2,15-1251,Computer Programmers,1960.0,102990.0,49.51,108450.0,52.14,64120.0,80920.0,119910.0,129500.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
28,Mississippi,2,15-1251,Computer Programmers,600.0,72010.0,34.62,65120.0,31.31,45410.0,56550.0,84990.0,100890.0,2024,121.2,113.9,-6.0,5.5,2.6,3.6,5.3,-0.006192864991551472
