area_code,area_title,area_type,occ_code,occ_title,emp,a_mean,h_mean,a_median,h_median,a_pct10,a_pct25,a_pct75,a_pct90,oews_year,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
99,U.S.,1,27-3041,Editors,95480.0,85700.0,41.2,75260.0,36.18,36200.0,50210.0,101210.0,140840.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
99,U.S.,1,27-3042,Technical Writers,55530.0,92330.0,44.39,91670.0,44.07,54400.0,68640.0,102740.0,130430.0,2024,56.4,56.9,0.9,4.5,1.8,2.6,7.8,0.0008830078849468848
99,U.S.,1,27-3043,Writers and Authors,47800.0,85780.0,41.24,72270.0,34.75,41080.0,52890.0,98320.0,133680.0,2024,135.4,140.3,3.6,13.4,6.5,6.4,9.4,0.0035612890372451744
1,Alabama,2,27-3041,Editors,590.0,55100.0,26.49,44990.0,21.63,26690.0,35960.0,75290.0,92270.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
2,Alaska,2,27-3041,Editors,50.0,58680.0,28.21,55370.0,26.62,34660.0,46580.0,62070.0,77890.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
4,Arizona,2,27-3041,Editors,1090.0,71710.0,34.48,61530.0,29.58,36420.0,46490.0,81630.0,105690.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
5,Arkansas,2,27-3041,Editors,350.0,48310.0,23.23,44690.0,21.49,22880.0,35100.0,60030.0,74990.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
6,California,2,27-3041,Editors,14920.0,103880.0,49.94,90570.0,43.55,48480.0,62800.0,129990.0,167510.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
9,Connecticut,2,27-3041,Editors,1310.0,90790.0,43.65,81910.0,39.38,37670.0,56310.0,115840.0,155880.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
10,Delaware,2,27-3041,Editors,180.0,84180.0,40.47,91700.0,44.09,44650.0,70300.0,97720.0,103180.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
11,District of Columbia,2,27-3041,Editors,3580.0,107440.0,51.65,81580.0,39.22,61470.0,73130.0,127710.0,167710.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
12,Florida,2,27-3041,Editors,4000.0,77390.0,37.21,64380.0,30.95,35780.0,49440.0,89990.0,134080.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
13,Georgia,2,27-3041,Editors,1940.0,74680.0,35.9,66880.0,32.16,38860.0,46780.0,90910.0,127190.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
15,Hawaii,2,27-3041,Editors,160.0,71790.0,34.51,58000.0,27.89,30780.0,46210.0,89010.0,133820.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
16,Idaho,2,27-3041,Editors,300.0,53260.0,25.6,46880.0,22.54,35350.0,38450.0,59020.0,79740.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
17,Illinois,2,27-3041,Editors,3680.0,75120.0,36.12,68050.0,32.72,39400.0,50480.0,83470.0,116650.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
18,Indiana,2,27-3041,Editors,1110.0,57520.0,27.65,51550.0,24.78,22350.0,36870.0,71150.0,95400.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
19,Iowa,2,27-3041,Editors,640.0,64490.0,31.01,58570.0,28.16,39600.0,46090.0,79240.0,96500.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
20,Kansas,2,27-3041,Editors,490.0,59060.0,28.4,54480.0,26.19,27640.0,43660.0,64480.0,92270.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
21,Kentucky,2,27-3041,Editors,430.0,66130.0,31.79,57410.0,27.6,29840.0,38810.0,81420.0,110050.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
22,Louisiana,2,27-3041,Editors,330.0,49850.0,23.97,48880.0,23.5,28350.0,37890.0,60050.0,70180.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
23,Maine,2,27-3041,Editors,310.0,57880.0,27.83,47750.0,22.96,30560.0,37410.0,73770.0,101430.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
24,Maryland,2,27-3041,Editors,1870.0,77370.0,37.2,72500.0,34.86,44840.0,52160.0,90080.0,122650.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
25,Massachusetts,2,27-3041,Editors,3200.0,87300.0,41.97,78720.0,37.85,48370.0,58770.0,101830.0,137630.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
26,Michigan,2,27-3041,Editors,1740.0,66720.0,32.08,62140.0,29.88,30920.0,41590.0,79210.0,104410.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
27,Minnesota,2,27-3041,Editors,1850.0,62740.0,30.16,53900.0,25.91,39660.0,45830.0,76300.0,97890.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
28,Mississippi,2,27-3041,Editors,280.0,57240.0,27.52,49510.0,23.8,19110.0,34150.0,66870.0,94270.0,2024,115.8,116.5,0.6,9.8,4.1,5.6,8.4,0.0006028524292129855
