occ_code,occ_title,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
11-0000,  Management occupations,13607.6,14441.0,6.1,1147.9,398.9,665.6,7.6,0.0059619946597482265
11-1000,    Top executives,4049.9,4228.1,4.4,333.1,98.2,217.1,7.6,0.004315337379568129
11-1011,      Chief executives,309.4,322.7,4.3,22.2,9.5,11.4,6.6,0.004217685597349696
11-1021,      General and operations managers,3712.9,3876.8,4.4,308.7,87.9,204.5,7.7,0.004329026143269354
11-1031,      Legislators,27.7,28.6,3.4,2.2,0.8,1.3,7.4,0.003202547696580682
11-2000,"    Advertising, marketing, promotions, public relations, and sales managers",1182.4,1243.5,5.2,95.6,26.9,62.5,7.4,0.005051085241197795
11-2011,      Advertising and promotions managers,27.0,26.4,-2.2,2.1,0.6,1.5,7.9,-0.0022447623294677976
11-2020,      Marketing and sales managers,1026.5,1082.2,5.4,83.3,23.2,54.5,7.4,0.005298090379903364
11-2021,        Marketing managers,407.0,433.7,6.6,34.3,8.8,22.8,7.5,0.006374215935419647
11-2022,        Sales managers,619.5,648.5,4.7,49.0,14.4,31.7,7.3,0.004585411239353299
11-2030,      Public relations and fundraising managers,128.9,134.9,4.7,10.2,3.1,6.6,7.3,0.004560050859151676
11-2032,        Public relations managers,83.2,87.3,5.0,6.6,2.0,4.2,7.3,0.0048218996235860345
11-2033,        Fundraising managers,45.7,47.6,4.2,3.6,1.1,2.3,7.3,0.004081754092811751
11-3000,    Operations specialties managers,2789.5,3072.3,10.1,231.7,72.3,131.2,6.9,0.00970318340560894
11-3010,      Administrative services and facilities managers,422.6,440.9,4.3,36.4,14.7,19.9,8.0,0.004248196831516893
11-3012,        Administrative services managers,271.2,283.8,4.6,23.2,8.9,13.0,7.9,0.0045516482910394895
11-3013,        Facilities managers,151.4,157.1,3.8,13.2,5.8,6.8,8.2,0.003702558021241087
11-3021,      Computer and information systems managers,667.1,768.7,15.2,55.6,13.1,32.3,6.3,0.014277038804421771
11-3031,      Financial managers,868.6,997.4,14.8,74.6,23.4,38.3,6.6,0.013922951229411451
11-3051,      Industrial production managers,241.9,246.5,1.9,17.1,5.8,10.8,6.8,0.0018855329726228387
11-3061,      Purchasing managers,83.5,86.1,3.1,6.4,2.3,3.9,7.3,0.0030709837965183784
11-3071,"      Transportation, storage, and distribution managers",216.7,229.8,6.1,18.5,5.6,11.6,7.7,0.005886805222541591
11-3111,      Compensation and benefits managers,20.9,20.9,0.2,1.5,0.6,0.9,7.0,0.0
11-3121,      Human resources managers,221.9,233.0,5.0,17.9,5.7,11.1,7.4,0.004893094642285822
11-3131,      Training and development managers,46.4,49.2,5.8,3.8,1.1,2.4,7.5,0.005876616384530964
11-9000,    Other management occupations,5585.8,5897.1,5.6,487.4,201.5,254.8,7.9,0.00543803689160427
11-9013,"      Farmers, ranchers, and other agricultural managers",836.1,825.0,-1.3,85.5,59.0,27.6,10.4,-0.0013355909855525816
11-9021,      Construction managers,550.3,598.4,8.7,46.8,14.1,27.9,7.3,0.0084147912468997
11-9030,      Education and childcare administrators,710.2,708.2,-0.3,45.6,17.1,28.6,6.5,-0.0002819683225766534
11-9031,"        Education and childcare administrators, preschool and daycare",90.2,87.9,-2.5,5.5,2.2,3.6,6.5,-0.002579629261052374
11-9032,"        Education administrators, kindergarten through secondary",333.3,328.1,-1.5,20.8,8.0,13.3,6.5,-0.0015712188757893708
11-9033,"        Education administrators, postsecondary",226.6,230.5,1.7,15.1,5.5,9.2,6.5,0.0017079082009876512
11-9039,"        Education administrators, all other",60.2,61.7,2.5,4.1,1.5,2.5,6.5,0.0024641889948524565
11-9041,      Architectural and engineering managers,212.5,220.5,3.8,14.5,4.7,9.0,6.3,0.003702407693127352
11-9051,      Food service managers,352.8,375.3,6.4,42.0,12.7,27.0,10.9,0.006201588917587042
11-9070,      Entertainment and recreation managers,48.3,51.7,7.0,6.1,2.2,3.6,11.6,0.006825812474532622
11-9071,        Gambling managers,5.1,5.2,1.2,0.6,0.2,0.4,11.6,0.001943695116898514
11-9072,"        Entertainment and recreation managers, except gambling",43.2,46.5,7.7,5.5,2.0,3.2,11.6,0.007388341835165679
11-9081,      Lodging managers,52.0,53.8,3.4,5.4,2.0,3.2,9.9,0.0034087715510431327
11-9111,      Medical and health services managers,616.2,759.1,23.2,62.1,18.0,29.8,7.0,0.02107520381336836
11-9121,      Natural sciences managers,104.3,108.2,3.7,8.5,2.3,5.8,7.6,0.0036777468154718385
11-9131,      Postmasters and mail superintendents,13.1,12.7,-3.5,0.9,0.4,0.6,7.4,-0.0030962204665782034
11-9141,"      Property, real estate, and community association managers",466.1,483.1,3.6,39.0,20.2,17.1,7.9,0.003588771091563858
11-9151,      Social and community service managers,219.8,233.9,6.4,18.6,6.9,10.2,7.6,0.006236932330099032
11-9161,      Emergency management directors,13.2,13.6,3.0,1.0,0.4,0.6,7.5,0.0029897567494807653
11-9170,      Personal service managers,57.1,60.1,5.2,4.6,1.7,2.6,7.4,0.005133705025022861
11-9171,        Funeral home managers,32.1,33.4,4.1,2.6,1.0,1.5,7.4,0.0039778778217156585
11-9179,"        Personal service managers, all other",25.1,26.7,6.5,2.1,0.8,1.2,7.4,0.006198704872279803
11-9199,"      Managers, all other",1333.7,1393.5,4.5,106.7,39.6,61.1,7.4,0.0043957865790336115
13-0000,  Business and financial operations occupations,11262.0,11848.9,5.2,942.5,348.6,535.2,7.6,0.0050930064330185765
13-1000,    Business operations specialists,7921.1,8356.3,5.5,689.9,247.8,398.6,7.9,0.005362895147090763
13-1011,"      Agents and business managers of artists, performers, and athletes",21.4,23.2,8.7,2.2,0.8,1.2,9.2,0.008108835618559462
13-1020,      Buyers and purchasing agents,522.2,552.3,5.8,52.2,21.2,28.1,9.2,0.005619804250434068
13-1030,"      Claims adjusters, appraisers, examiners, and investigators",365.3,346.3,-5.2,21.6,9.0,14.5,6.6,-0.005327108603012332
13-1031,"        Claims adjusters, examiners, and investigators",356.1,337.9,-5.1,21.1,8.8,14.1,6.6,-0.005232422593552055
13-1032,"        Insurance appraisers, auto damage",9.2,8.4,-8.2,0.5,0.2,0.4,6.6,-0.009055923691917434
13-1041,      Compliance officers,418.0,430.3,3.0,33.3,14.1,17.9,7.6,0.0029043301504001473
13-1051,      Cost estimators,221.4,212.1,-4.2,16.9,6.2,11.7,8.2,-0.004282121331365962
13-1070,      Human resources workers,1013.7,1072.3,5.8,87.2,29.6,51.7,7.8,0.0056357082730722485
13-1071,        Human resources specialists,944.3,1002.7,6.2,81.8,27.7,48.2,7.8,0.0060188135313461455
13-1074,        Farm labor contractors,3.9,4.2,6.0,0.3,0.1,0.2,7.8,0.00743832513231002
13-1075,        Labor relations specialists,65.4,65.4,-0.1,5.1,1.9,3.2,7.8,0.0
13-1080,      Logisticians and project management specialists,1287.2,1386.2,7.7,104.7,31.6,63.2,7.1,0.007437207042817251
13-1081,        Logisticians,241.0,281.3,16.7,26.4,6.6,15.8,8.6,0.015582640855179797
13-1082,        Project management specialists,1046.3,1105.0,5.6,78.2,25.0,47.4,6.7,0.005473445222263784
13-1111,      Management analysts,1075.1,1169.7,8.8,98.1,38.9,49.8,7.9,0.00846902349504397
13-1121,"      Meeting, convention, and event planners",155.8,163.3,4.8,15.5,5.7,9.1,9.3,0.004712656454252118
13-1131,      Fundraisers,134.4,140.2,4.3,10.2,4.1,5.6,7.0,0.004233892354744029
13-1141,"      Compensation, benefits, and job analysis specialists",107.0,112.7,5.3,8.5,3.2,4.7,7.2,0.00520355034360187
13-1151,      Training and development specialists,452.3,501.0,10.8,43.9,14.3,24.8,8.2,0.010278507115065949
13-1161,      Market research analysts and marketing specialists,941.7,1004.7,6.7,87.2,27.4,53.5,8.3,0.006496764608449945
13-1199,"      Business operations specialists, all other",1205.7,1242.0,3.0,108.2,41.8,62.8,8.5,0.0029706709608072757
13-2000,    Financial specialists,3340.9,3492.6,4.5,252.6,100.8,136.6,6.9,0.004450495444588309
13-2011,      Accountants and auditors,1579.8,1652.6,4.6,124.2,49.7,67.2,7.2,0.004515318320736927
13-2020,      Property appraisers and assessors,77.3,80.2,3.8,6.3,3.5,2.4,7.6,0.003689746343801037
13-2031,      Budget analysts,50.4,51.0,1.0,3.1,1.1,1.9,6.0,0.001184146312965595
13-2041,      Credit analysts,67.8,64.8,-4.4,3.7,1.2,2.8,6.1,-0.004515433794721191
13-2050,      Financial analysts and advisors,881.9,934.9,6.0,62.3,23.2,33.8,6.3,0.005853153231906383
13-2051,        Financial and investment analysts,368.5,389.6,5.7,25.1,7.9,15.1,6.1,0.005583516058335292
13-2052,        Personal financial advisors,326.0,357.2,9.6,24.1,9.6,11.3,6.1,0.009181742706549922
