occ_code,occ_title,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline,oews_occ_title,oews_emp,oews_a_mean,oews_h_mean,oews_a_median,oews_h_median,oews_a_pct10,oews_a_pct25,oews_a_pct75,oews_a_pct90,oews_oews_year
11-0000,  Management occupations,13607.6,14441.0,6.1,1147.9,398.9,665.6,7.6,0.0059619946597482265,Management Occupations,10966830.0,141760.0,68.15,122090.0,58.7,57010.0,79900.0,171610.0,,2024
11-1000,    Top executives,4049.9,4228.1,4.4,333.1,98.2,217.1,7.6,0.004315337379568129,Top Executives,3822780.0,139860.0,67.24,104990.0,50.48,47510.0,68800.0,168490.0,,2024
11-1011,      Chief executives,309.4,322.7,4.3,22.2,9.5,11.4,6.6,0.004217685597349696,Chief Executives,211850.0,262930.0,126.41,206420.0,99.24,73710.0,126080.0,,,2024
11-1021,      General and operations managers,3712.9,3876.8,4.4,308.7,87.9,204.5,7.7,0.004329026143269354,General and Operations Managers,3584420.0,133120.0,64.0,102950.0,49.5,47420.0,67160.0,164130.0,,2024
11-1031,      Legislators,27.7,28.6,3.4,2.2,0.8,1.3,7.4,0.003202547696580682,Legislators,26510.0,67390.0,,44810.0,,20380.0,29120.0,80350.0,137820.0,2024
11-2000,"    Advertising, marketing, promotions, public relations, and sales managers",1182.4,1243.5,5.2,95.6,26.9,62.5,7.4,0.005051085241197795,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",1122770.0,163740.0,78.72,144530.0,69.48,73320.0,100740.0,204920.0,,2024
11-2011,      Advertising and promotions managers,27.0,26.4,-2.2,2.1,0.6,1.5,7.9,-0.0022447623294677976,Advertising and Promotions Managers,21100.0,149270.0,71.76,126960.0,61.04,63000.0,85990.0,178570.0,,2024
11-2020,      Marketing and sales managers,1026.5,1082.2,5.4,83.3,23.2,54.5,7.4,0.005298090379903364,Marketing and Sales Managers,988680.0,165050.0,79.35,148870.0,71.57,73080.0,101200.0,206410.0,,2024
11-2021,        Marketing managers,407.0,433.7,6.6,34.3,8.8,22.8,7.5,0.006374215935419647,Marketing Managers,384980.0,171520.0,82.46,161030.0,77.42,81900.0,111210.0,211080.0,,2024
11-2022,        Sales managers,619.5,648.5,4.7,49.0,14.4,31.7,7.3,0.004585411239353299,Sales Managers,603710.0,160930.0,77.37,138060.0,66.38,66910.0,95910.0,201490.0,,2024
11-2030,      Public relations and fundraising managers,128.9,134.9,4.7,10.2,3.1,6.6,7.3,0.004560050859151676,Public Relations and Fundraising Managers,112980.0,154950.0,74.49,132870.0,63.88,76870.0,99190.0,182080.0,,2024
11-2032,        Public relations managers,83.2,87.3,5.0,6.6,2.0,4.2,7.3,0.0048218996235860345,Public Relations Managers,76060.0,163520.0,78.61,138520.0,66.6,78880.0,102300.0,198000.0,,2024
11-2033,        Fundraising managers,45.7,47.6,4.2,3.6,1.1,2.3,7.3,0.004081754092811751,Fundraising Managers,36920.0,137290.0,66.01,123480.0,59.36,73700.0,92880.0,166420.0,216660.0,2024
11-3000,    Operations specialties managers,2789.5,3072.3,10.1,231.7,72.3,131.2,6.9,0.00970318340560894,Operations Specialties Managers,2669000.0,160590.0,77.21,140330.0,67.46,78600.0,103030.0,195490.0,,2024
11-3010,      Administrative services and facilities managers,422.6,440.9,4.3,36.4,14.7,19.9,8.0,0.004248196831516893,Administrative Services and Facilities Managers,395230.0,121920.0,58.62,106880.0,51.39,63940.0,82360.0,141650.0,188260.0,2024
11-3012,        Administrative services managers,271.2,283.8,4.6,23.2,8.9,13.0,7.9,0.0045516482910394895,Administrative Services Managers,254140.0,126030.0,60.59,108390.0,52.11,64740.0,83660.0,147150.0,200010.0,2024
11-3013,        Facilities managers,151.4,157.1,3.8,13.2,5.8,6.8,8.2,0.003702558021241087,Facilities Managers,141090.0,114520.0,55.06,104690.0,50.33,62550.0,80150.0,135650.0,173080.0,2024
11-3021,      Computer and information systems managers,667.1,768.7,15.2,55.6,13.1,32.3,6.3,0.014277038804421771,Computer and Information Systems Managers,645970.0,187990.0,90.38,171200.0,82.31,104450.0,134350.0,216220.0,,2024
11-3031,      Financial managers,868.6,997.4,14.8,74.6,23.4,38.3,6.6,0.013922951229411451,Financial Managers,818620.0,180470.0,86.76,161700.0,77.74,86490.0,118360.0,214210.0,,2024
11-3051,      Industrial production managers,241.9,246.5,1.9,17.1,5.8,10.8,6.8,0.0018855329726228387,Industrial Production Managers,234380.0,129180.0,62.11,121440.0,58.39,74900.0,94620.0,156330.0,197310.0,2024
11-3061,      Purchasing managers,83.5,86.1,3.1,6.4,2.3,3.9,7.3,0.0030709837965183784,Purchasing Managers,81240.0,150630.0,72.42,139510.0,67.07,85500.0,107430.0,175460.0,219140.0,2024
11-3071,"      Transportation, storage, and distribution managers",216.7,229.8,6.1,18.5,5.6,11.6,7.7,0.005886805222541591,"Transportation, Storage, and Distribution Managers",213000.0,116010.0,55.77,102010.0,49.05,61200.0,78360.0,136050.0,180590.0,2024
11-3111,      Compensation and benefits managers,20.9,20.9,0.2,1.5,0.6,0.9,7.0,0.0,Compensation and Benefits Managers,20070.0,156230.0,75.11,140360.0,67.48,81660.0,105210.0,190890.0,,2024
11-3121,      Human resources managers,221.9,233.0,5.0,17.9,5.7,11.1,7.4,0.004893094642285822,Human Resources Managers,215520.0,160480.0,77.15,140030.0,67.32,83790.0,105590.0,189960.0,,2024
11-3131,      Training and development managers,46.4,49.2,5.8,3.8,1.1,2.4,7.5,0.005876616384530964,Training and Development Managers,44960.0,140590.0,67.59,127090.0,61.1,75810.0,96110.0,169310.0,219990.0,2024
11-9000,    Other management occupations,5585.8,5897.1,5.6,487.4,201.5,254.8,7.9,0.00543803689160427,Other Management Occupations,3352280.0,121560.0,58.44,104030.0,50.01,54440.0,75640.0,154090.0,205860.0,2024
11-9013,"      Farmers, ranchers, and other agricultural managers",836.1,825.0,-1.3,85.5,59.0,27.6,10.4,-0.0013355909855525816,"Farmers, Ranchers, and Other Agricultural Managers",5910.0,97240.0,46.75,87980.0,42.3,51700.0,67970.0,115200.0,156530.0,2024
11-9021,      Construction managers,550.3,598.4,8.7,46.8,14.1,27.9,7.3,0.0084147912468997,Construction Managers,348330.0,119660.0,57.53,106980.0,51.43,65160.0,83480.0,139330.0,176990.0,2024
11-9030,      Education and childcare administrators,710.2,708.2,-0.3,45.6,17.1,28.6,6.5,-0.0002819683225766534,Education and Childcare Administrators,621000.0,109470.0,52.63,100650.0,48.39,55880.0,77100.0,131190.0,168460.0,2024
11-9031,"        Education and childcare administrators, preschool and daycare",90.2,87.9,-2.5,5.5,2.2,3.6,6.5,-0.002579629261052374,"Education and Childcare Administrators, Preschool and Daycare",71620.0,62640.0,30.12,56270.0,27.05,37060.0,45310.0,72690.0,96400.0,2024
