soc_code,accountability_responsibility,creativity_originality,physical_manual,social_perceptiveness,tool_technology,writing_intensity,norm_writing_intensity,norm_social_perceptiveness,norm_physical_manual,norm_creativity_originality,norm_tool_technology,norm_accountability_responsibility
11-1011,3.4699999999999998,4.006666666666667,1.3186363636363636,4.0009999999999994,2.5966666666666667,3.855,0.8888888888888888,0.9108527131782945,0.07364341085271318,0.9748062015503876,0.7803617571059431,0.5697674418604651
11-1021,3.5250000000000004,3.356666666666667,1.6990909090909092,3.432,2.486666666666667,3.71,0.7848837209302325,0.661498708010336,0.24289405684754523,0.7338501291989664,0.6724806201550387,0.6046511627906976
11-2011,3.1100000000000003,3.85,1.4118181818181819,3.586,2.703333333333333,3.5125,0.6363049095607235,0.7474160206718347,0.11369509043927649,0.9476744186046512,0.8527131782945736,0.32170542635658916
11-2021,3.455,3.8833333333333333,1.2718181818181817,3.6019999999999994,2.676666666666667,3.1799999999999997,0.44638242894056845,0.7571059431524548,0.05167958656330749,0.9560723514211886,0.8372093023255814,0.5523255813953488
11-2022,3.075,3.7866666666666666,1.238181818181818,3.914,2.47,3.5975,0.7054263565891473,0.8824289405684754,0.03488372093023256,0.9308785529715762,0.6524547803617571,0.29457364341085274
11-2033,3.45,3.5366666666666666,1.3518181818181818,3.622,2.59,3.7575,0.8217054263565892,0.7648578811369509,0.08914728682170543,0.8255813953488372,0.7764857881136951,0.5471576227390181
11-3012,3.31,3.1933333333333334,2.138181818181818,3.508,2.3433333333333333,3.9025,0.9198966408268734,0.6996124031007752,0.3850129198966408,0.6498708010335917,0.5251937984496124,0.4502583979328165
11-3013,3.525,3.5050000000000003,2.4913636363636367,3.6740000000000004,2.4116666666666666,3.7,0.7751937984496124,0.7906976744186046,0.5129198966408268,0.8126614987080103,0.5904392764857881,0.6027131782945736
11-3021,4.03,3.4033333333333338,1.7154545454545456,2.968,3.3833333333333333,3.5025,0.6272609819121447,0.3863049095607235,0.2532299741602067,0.7558139534883721,0.9799741602067183,0.8630490956072352
11-3031,3.855,3.326666666666666,1.283939393939394,3.212,2.6199999999999997,3.4675,0.6091731266149871,0.5361757105943152,0.059431524547803614,0.7170542635658915,0.7952196382428941,0.791343669250646
11-3051,3.981666666666667,3.272777777777778,2.3207575757575754,3.0486666666666666,2.676111111111111,3.5995833333333334,0.7093023255813954,0.4289405684754522,0.4483204134366925,0.6795865633074936,0.8359173126614987,0.8423772609819121
11-3061,3.0,3.72,1.2718181818181817,3.6700000000000004,2.7099999999999995,3.775,0.8359173126614987,0.7887596899224806,0.05167958656330749,0.9076227390180879,0.8578811369509044,0.25775193798449614
11-3071,3.27,3.4283333333333332,1.5704545454545453,3.315,2.5566666666666666,3.57625,0.6808785529715762,0.599483204134367,0.18863049095607234,0.7674418604651163,0.7512919896640827,0.42054263565891475
11-3111,3.24,3.3066666666666666,1.1936363636363636,3.252,2.526666666666667,3.8449999999999998,0.877906976744186,0.5562015503875969,0.01744186046511628,0.7028423772609819,0.7131782945736435,0.39728682170542634
11-3121,3.5,3.7433333333333336,1.37,3.81,2.5766666666666667,3.9225000000000003,0.9354005167958657,0.8527131782945736,0.09302325581395349,0.9140826873385013,0.7635658914728682,0.5833333333333334
11-3131,2.41,3.936666666666666,1.4045454545454545,3.184,2.6533333333333333,3.735,0.810077519379845,0.520671834625323,0.10981912144702842,0.9677002583979328,0.8236434108527132,0.029069767441860465
11-9013,3.565,3.51,2.810909090909091,3.2979999999999996,2.283333333333333,3.4625,0.6027131782945736,0.5891472868217055,0.661498708010336,0.8152454780361758,0.45671834625323,0.6401808785529716
11-9021,3.825,3.3433333333333333,2.347272727272727,3.492,2.316666666666667,3.8325,0.8688630490956072,0.6905684754521964,0.45478036175710596,0.7286821705426356,0.49160206718346255,0.7687338501291989
11-9031,3.995,3.4633333333333334,1.9009090909090909,4.148000000000001,2.23,3.8975,0.9160206718346253,0.962532299741602,0.31007751937984496,0.7868217054263565,0.4186046511627907,0.8488372093023255
11-9032,2.91,4.006666666666667,1.6172727272727272,4.288,2.4966666666666666,4.2525,0.9974160206718347,0.9870801033591732,0.20930232558139536,0.9748062015503876,0.6782945736434108,0.20478036175710596
11-9033,3.4450000000000003,3.9133333333333336,1.2436363636363637,3.468,2.3466666666666667,3.7824999999999998,0.8423772609819121,0.6782945736434108,0.037467700258397935,0.9651162790697675,0.5290697674418605,0.541343669250646
11-9041,3.32,3.7533333333333334,1.9863636363636366,3.132,2.8366666666666664,3.535,0.6589147286821705,0.4838501291989664,0.33462532299741604,0.9198966408268734,0.9056847545219638,0.45348837209302323
11-9051,3.69,3.0933333333333333,2.6681818181818184,3.524,2.0033333333333334,3.12,0.4082687338501292,0.712532299741602,0.582687338501292,0.5839793281653747,0.28940568475452194,0.7093023255813954
11-9071,3.96,3.013333333333333,1.8936363636363636,3.5,2.433333333333333,3.5525,0.6744186046511628,0.6944444444444444,0.3055555555555556,0.5232558139534884,0.6091731266149871,0.83656330749354
11-9072,3.58,3.783333333333333,2.0663636363636364,4.106,2.3233333333333333,3.62,0.7312661498708011,0.9476744186046512,0.3578811369509044,0.9289405684754521,0.49806201550387597,0.6492248062015504
11-9081,3.5599999999999996,3.66,2.158181818181818,4.036,2.59,3.8325,0.8688630490956072,0.9263565891472868,0.3888888888888889,0.8869509043927648,0.7764857881136951,0.6356589147286822
