institution,career,weight_regime,policy_regime,score,E,I,S,A,audit_capacity,sustainability_capacity,access_capacity,net_risk
SDSU,software_engineer,Balanced,Ban,3.066938062231701,0.5259174163089348,0.05,0.015000000000000003,0.6060206459227663,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Balanced,Allow_with_Audit,3.3420814186695105,0.8079587081544675,0.17235664356219077,0.07500000000000001,0.7814793540772337,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Balanced,Require,2.7759037118457144,0.5970412918455326,0.4878979029612013,0.10500000000000001,0.7717603229613832,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Integrity_First,Ban,4.016938062231701,0.5259174163089348,0.05,0.015000000000000003,0.6060206459227663,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Integrity_First,Allow_with_Audit,4.169724775107319,0.8079587081544675,0.17235664356219077,0.07500000000000001,0.7814793540772337,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Integrity_First,Require,3.288005808884513,0.5970412918455326,0.4878979029612013,0.10500000000000001,0.7717603229613832,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Sustainability_First,Ban,4.0519380622317005,0.5259174163089348,0.05,0.015000000000000003,0.6060206459227663,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Sustainability_First,Allow_with_Audit,4.26708141866951,0.8079587081544675,0.17235664356219077,0.07500000000000001,0.7814793540772337,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Sustainability_First,Require,3.670903711845715,0.5970412918455326,0.4878979029612013,0.10500000000000001,0.7717603229613832,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Equity_First,Ban,3.672958708154467,0.5259174163089348,0.05,0.015000000000000003,0.6060206459227663,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Equity_First,Allow_with_Audit,4.123560772746744,0.8079587081544675,0.17235664356219077,0.07500000000000001,0.7814793540772337,0.85,0.7,0.75,0.879587081544674
SDSU,software_engineer,Equity_First,Require,3.547664034807098,0.5970412918455326,0.4878979029612013,0.10500000000000001,0.7717603229613832,0.85,0.7,0.75,0.879587081544674
LATTC,electrician,Balanced,Ban,2.7942533916600167,0.21675339166001684,0.05,0.0225,0.6499999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Balanced,Allow_with_Audit,3.367662144453311,0.8476621444533109,0.08,0.11249999999999999,0.7124999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Balanced,Require,3.44245098473663,0.9264932166799662,0.1,0.15749999999999997,0.7734577680566639,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Integrity_First,Ban,3.7442533916600165,0.21675339166001684,0.05,0.0225,0.6499999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Integrity_First,Allow_with_Audit,4.287662144453311,0.8476621444533109,0.08,0.11249999999999999,0.7124999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Integrity_First,Require,4.34245098473663,0.9264932166799662,0.1,0.15749999999999997,0.7734577680566639,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Sustainability_First,Ban,3.7717533916600168,0.21675339166001684,0.05,0.0225,0.6499999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Sustainability_First,Allow_with_Audit,4.25516214445331,0.8476621444533109,0.08,0.11249999999999999,0.7124999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Sustainability_First,Require,4.28495098473663,0.9264932166799662,0.1,0.15749999999999997,0.7734577680566639,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Equity_First,Ban,3.4442533916600166,0.21675339166001684,0.05,0.0225,0.6499999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Equity_First,Allow_with_Audit,4.080162144453311,0.8476621444533109,0.08,0.11249999999999999,0.7124999999999999,0.6,0.55,0.65,-0.8883107222665543
LATTC,electrician,Equity_First,Require,4.215908752793293,0.9264932166799662,0.1,0.15749999999999997,0.7734577680566639,0.6,0.55,0.65,-0.8883107222665543
Academy of Art,writer,Balanced,Ban,3.013962096017783,0.47194946135704396,0.05,0.027500000000000004,0.6195126346607389,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Balanced,Allow_with_Audit,2.9353682271679906,0.6909747306785221,0.3360938688497924,0.1375,0.717987365339261,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Balanced,Require,2.5629644288107567,0.579025269321478,0.5170671578410905,0.1925,0.6935063173303695,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Integrity_First,Ban,3.963962096017783,0.47194946135704396,0.05,0.027500000000000004,0.6195126346607389,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Integrity_First,Allow_with_Audit,3.5992743583181985,0.6909747306785221,0.3360938688497924,0.1375,0.717987365339261,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Integrity_First,Require,3.0458972709696663,0.579025269321478,0.5170671578410905,0.1925,0.6935063173303695,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Sustainability_First,Ban,3.986462096017783,0.47194946135704396,0.05,0.027500000000000004,0.6195126346607389,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Sustainability_First,Allow_with_Audit,3.797868227167991,0.6909747306785221,0.3360938688497924,0.1375,0.717987365339261,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Sustainability_First,Require,3.370464428810757,0.579025269321478,0.5170671578410905,0.1925,0.6935063173303695,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Equity_First,Ban,3.633474730678522,0.47194946135704396,0.05,0.027500000000000004,0.6195126346607389,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Equity_First,Allow_with_Audit,3.6533555925072516,0.6909747306785221,0.3360938688497924,0.1375,0.717987365339261,0.4,0.45,0.55,0.60974730678522
Academy of Art,writer,Equity_First,Require,3.2564707461411264,0.579025269321478,0.5170671578410905,0.1925,0.6935063173303695,0.4,0.45,0.55,0.60974730678522
