season,week,elim_observed,elim_rank,elim_percent,elim_judges_save,rule_actual
4,1,,Billy Ray Cyrus (Karina Smirnoff),Billy Ray Cyrus (Karina Smirnoff),Billy Ray Cyrus (Karina Smirnoff),percent
4,2,Paulina Porizkova (Alec Mazo),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),percent
4,3,Shandi Finnessey (Brian Fortuna),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),percent
4,4,Leeza Gibbons (Tony Dovolani),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),percent
4,5,Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),Clyde Drexler (Elena Grinenko),percent
4,6,Heather Mills (Jonathan Roberts),John Ratzenberger (Edyta Sliwinska),John Ratzenberger (Edyta Sliwinska),John Ratzenberger (Edyta Sliwinska),percent
4,7,John Ratzenberger (Edyta Sliwinska),Billy Ray Cyrus (Karina Smirnoff),Billy Ray Cyrus (Karina Smirnoff),Billy Ray Cyrus (Karina Smirnoff),percent
4,8,Billy Ray Cyrus (Karina Smirnoff),Billy Ray Cyrus (Karina Smirnoff),Billy Ray Cyrus (Karina Smirnoff),Billy Ray Cyrus (Karina Smirnoff),percent
4,9,Ian Ziering (Cheryl Burke),Ian Ziering (Cheryl Burke),Ian Ziering (Cheryl Burke),Ian Ziering (Cheryl Burke),percent
4,10,,Laila Ali (Maksim Chmerkoskiy),Laila Ali (Maksim Chmerkoskiy),Laila Ali (Maksim Chmerkoskiy),percent
