season,week,celebrity_name,ballroom_partner,fan_share
1,1,Evander Holyfield,Edyta Sliwinska,0.0
1,1,Joey McIntyre,Ashly DelGrosso,1.8088202152158692e-302
1,1,John O'Hurley,Charlotte Jorgensen,0.0
1,1,Kelly Monaco,Alec Mazo,1.0
1,1,Rachel Hunter,Jonathan Roberts,0.0
1,1,Trista Sutter,Louis van Amstel,7.009617608062e-311
1,2,Evander Holyfield,Edyta Sliwinska,0.0
1,2,Joey McIntyre,Ashly DelGrosso,1.4799259378092623e-165
1,2,John O'Hurley,Charlotte Jorgensen,0.0
1,2,Kelly Monaco,Alec Mazo,1.0
1,2,Rachel Hunter,Jonathan Roberts,0.0
1,2,Trista Sutter,Louis van Amstel,9.331809652783972e-260
1,3,Evander Holyfield,Edyta Sliwinska,0.0
1,3,Joey McIntyre,Ashly DelGrosso,1.1311600350588623e-242
1,3,John O'Hurley,Charlotte Jorgensen,0.0
1,3,Kelly Monaco,Alec Mazo,1.0
1,3,Rachel Hunter,Jonathan Roberts,0.0
1,4,Joey McIntyre,Ashly DelGrosso,8.61761632537811e-286
1,4,John O'Hurley,Charlotte Jorgensen,0.0
1,4,Kelly Monaco,Alec Mazo,1.0
1,4,Rachel Hunter,Jonathan Roberts,0.0
1,5,Joey McIntyre,Ashly DelGrosso,0.0
1,5,John O'Hurley,Charlotte Jorgensen,0.0
1,5,Kelly Monaco,Alec Mazo,1.0
1,6,John O'Hurley,Charlotte Jorgensen,0.0
1,6,Kelly Monaco,Alec Mazo,1.0
10,1,Aiden Turner,Edyta Sliwinska,0.0
10,1,Buzz Aldrin,Ashly DelGrosso,0.0
10,1,Chad Ochocinco,Cheryl Burke,0.0
10,1,Erin Andrews,Maksim Chmerkoskiy,0.0
10,1,Evan Lysacek,Anna Trebunskaya,1.0
10,1,Jake Pavelka,Chelsie Hightower,0.0
10,1,Kate Gosselin,Tony Dovolani,0.0
10,1,Nicole Scherzinger,Derek Hough,0.0
10,1,Niecy Nash,Louis van Amstel,0.0
10,1,Pamela Anderson,Damian Whitewood,0.0
10,1,Shannen Doherty,Mark Ballas,0.0
10,2,Aiden Turner,Edyta Sliwinska,0.0
10,2,Buzz Aldrin,Ashly DelGrosso,0.0
10,2,Chad Ochocinco,Cheryl Burke,0.0
10,2,Erin Andrews,Maksim Chmerkoskiy,0.0
10,2,Evan Lysacek,Anna Trebunskaya,1.0
10,2,Jake Pavelka,Chelsie Hightower,0.0
10,2,Kate Gosselin,Tony Dovolani,0.0
10,2,Nicole Scherzinger,Derek Hough,0.0
10,2,Niecy Nash,Louis van Amstel,0.0
10,2,Pamela Anderson,Damian Whitewood,0.0
10,2,Shannen Doherty,Mark Ballas,0.0
10,3,Aiden Turner,Edyta Sliwinska,0.0
10,3,Buzz Aldrin,Ashly DelGrosso,0.0
10,3,Chad Ochocinco,Cheryl Burke,0.0
10,3,Erin Andrews,Maksim Chmerkoskiy,0.0
10,3,Evan Lysacek,Anna Trebunskaya,1.0
10,3,Jake Pavelka,Chelsie Hightower,0.0
10,3,Kate Gosselin,Tony Dovolani,0.0
10,3,Nicole Scherzinger,Derek Hough,0.0
10,3,Niecy Nash,Louis van Amstel,0.0
10,3,Pamela Anderson,Damian Whitewood,0.0
10,4,Aiden Turner,Edyta Sliwinska,0.0
10,4,Chad Ochocinco,Cheryl Burke,0.0
10,4,Erin Andrews,Maksim Chmerkoskiy,0.0
10,4,Evan Lysacek,Anna Trebunskaya,1.0
10,4,Jake Pavelka,Chelsie Hightower,0.0
10,4,Kate Gosselin,Tony Dovolani,0.0
10,4,Nicole Scherzinger,Derek Hough,0.0
10,4,Niecy Nash,Louis van Amstel,0.0
10,4,Pamela Anderson,Damian Whitewood,0.0
10,5,Chad Ochocinco,Cheryl Burke,0.0
10,5,Erin Andrews,Maksim Chmerkoskiy,0.0
10,5,Evan Lysacek,Anna Trebunskaya,1.0
10,5,Jake Pavelka,Chelsie Hightower,0.0
10,5,Kate Gosselin,Tony Dovolani,0.0
10,5,Nicole Scherzinger,Derek Hough,0.0
10,5,Niecy Nash,Louis van Amstel,0.0
10,5,Pamela Anderson,Damian Whitewood,0.0
10,6,Chad Ochocinco,Cheryl Burke,0.0
10,6,Erin Andrews,Maksim Chmerkoskiy,0.0
10,6,Evan Lysacek,Anna Trebunskaya,1.0
10,6,Jake Pavelka,Chelsie Hightower,0.0
10,6,Nicole Scherzinger,Derek Hough,0.0
10,6,Niecy Nash,Louis van Amstel,0.0
10,6,Pamela Anderson,Damian Whitewood,0.0
10,7,Chad Ochocinco,Cheryl Burke,0.0
10,7,Erin Andrews,Maksim Chmerkoskiy,0.0
10,7,Evan Lysacek,Anna Trebunskaya,1.0
10,7,Nicole Scherzinger,Derek Hough,0.0
10,7,Niecy Nash,Louis van Amstel,0.0
10,7,Pamela Anderson,Damian Whitewood,0.0
10,8,Chad Ochocinco,Cheryl Burke,0.0
10,8,Erin Andrews,Maksim Chmerkoskiy,0.0
10,8,Evan Lysacek,Anna Trebunskaya,1.0
10,8,Nicole Scherzinger,Derek Hough,0.0
10,8,Niecy Nash,Louis van Amstel,0.0
10,9,Chad Ochocinco,Cheryl Burke,0.0
10,9,Erin Andrews,Maksim Chmerkoskiy,0.0
10,9,Evan Lysacek,Anna Trebunskaya,1.0
10,9,Nicole Scherzinger,Derek Hough,0.0
10,10,Erin Andrews,Maksim Chmerkoskiy,0.0
10,10,Evan Lysacek,Anna Trebunskaya,1.0
10,10,Nicole Scherzinger,Derek Hough,0.0
11,1,Audrina Patridge,Tony Dovolani,0.0
11,1,Brandy,Maksim Chmerkoskiy,0.0
11,1,Bristol Palin,Mark Ballas,3.954450846490451e-09
11,1,David Hasselhoff,Kym Johnson,0.0
11,1,Florence Henderson,Corky Ballas,0.0
11,1,Jennifer Grey,Derek Hough,0.0
11,1,Kurt Warner,Anna Trebunskaya,0.0
11,1,Kyle Massey,Lacey Schwimmer,0.9999999960455492
11,1,Margaret Cho,Louis van Amstel,0.0
11,1,Michael Bolton,Chelsie Hightower,0.0
11,1,Rick Fox,Cheryl Burke,0.0
11,1,The Situation,Karina Smirnoff,0.0
11,2,Audrina Patridge,Tony Dovolani,0.0
11,2,Brandy,Maksim Chmerkoskiy,0.0
11,2,Bristol Palin,Mark Ballas,3.697222048063573e-172
11,2,Florence Henderson,Corky Ballas,0.0
11,2,Jennifer Grey,Derek Hough,0.0
11,2,Kurt Warner,Anna Trebunskaya,0.0
11,2,Kyle Massey,Lacey Schwimmer,1.0
11,2,Margaret Cho,Louis van Amstel,0.0
11,2,Michael Bolton,Chelsie Hightower,0.0
11,2,Rick Fox,Cheryl Burke,0.0
11,2,The Situation,Karina Smirnoff,0.0
11,3,Audrina Patridge,Tony Dovolani,0.0
11,3,Brandy,Maksim Chmerkoskiy,0.0
11,3,Bristol Palin,Mark Ballas,0.4478464906592475
11,3,Florence Henderson,Corky Ballas,0.0
11,3,Jennifer Grey,Derek Hough,0.0
11,3,Kurt Warner,Anna Trebunskaya,0.0
11,3,Kyle Massey,Lacey Schwimmer,0.5521535093407525
11,3,Margaret Cho,Louis van Amstel,0.0
11,3,Rick Fox,Cheryl Burke,0.0
11,3,The Situation,Karina Smirnoff,0.0
11,4,Audrina Patridge,Tony Dovolani,0.0
11,4,Brandy,Maksim Chmerkoskiy,0.0
