season,week,rule_regime,n_active,observed_eliminated,observed_eliminated_name,observed_eliminated_partner,model_map_eliminated,model_elim_prob_observed,model_log_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_elim_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_elim_prob_observed,judges_only_map_eliminated,judges_only_map_matches_observed
1,2,rank,6,5,Trista Sutter,Louis van Amstel,0,0.09719789962209965,-2.331006176575353,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.8621485864792318,0.1553385133274156,0,False
1,3,rank,5,0,Evander Holyfield,Edyta Sliwinska,0,0.5909854262787984,-0.5259639213068246,1,True,-1.6094379124341003,0.2,0.2,-0.8762196627812853,0.4163538985193973,0,True
1,4,rank,4,3,Rachel Hunter,Jonathan Roberts,1,0.24606559785093823,-1.402157120666038,3,False,-1.3862943611198906,0.25,0.25,-1.7593391158814664,0.1721586031213346,0,False
10,2,percent,11,10,Shannen Doherty,Mark Ballas,1,0.09410616709678406,-2.363331696846656,5,False,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.3979374619751015,0.09090525561029271,1,False
10,3,percent,10,1,Buzz Aldrin,Ashly DelGrosso,1,0.10564944611063283,-2.2476287776159456,1,True,-2.302585092994046,0.1,0.1,-2.2855803194001854,0.10171501777754954,1,True
10,4,percent,9,0,Aiden Turner,Edyta Sliwinska,5,0.11712389380207934,-2.144522983060857,2,False,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.186761646243438,0.11227976210644255,5,False
10,5,percent,8,4,Kate Gosselin,Tony Dovolani,4,0.13348444515103502,-2.013770323652901,1,True,-2.0794415416798357,0.125,0.125,-2.0613681860345956,0.12727970839141836,4,True
10,6,percent,7,3,Jake Pavelka,Chelsie Hightower,3,0.15272075088649514,-1.8791441828238828,1,True,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.9349353823881839,0.14443360147640527,3,True
10,7,percent,6,5,Pamela Anderson,Damian Whitewood,4,0.1780397272000519,-1.7257485670753119,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7904933918682082,0.16687781319568964,4,False
10,8,percent,5,4,Niecy Nash,Louis van Amstel,4,0.21933552949109603,-1.5171526234977206,1,True,-1.6094379124341003,0.2,0.2,-1.5952634383310673,0.2028550816587188,4,True
10,9,percent,4,0,Chad Ochocinco,Cheryl Burke,0,0.2785048639288387,-1.278319755031798,1,True,-1.3862943611198906,0.25,0.25,-1.3768772536828888,0.25236539697734905,0,True
11,1,percent,12,3,David Hasselhoff,Kym Johnson,3,0.0867197198811685,-2.445073971448595,1,True,-2.4849066497880004,0.08333333333333333,0.08333333333333333,-2.476753320930495,0.08401555481351362,3,True
11,2,percent,11,8,Michael Bolton,Chelsie Hightower,8,0.0957701896838185,-2.3458038148322298,1,True,-2.3978952727983707,0.09090909090909091,0.09090909090909091,-2.380569872994709,0.09249785046086316,8,True
11,3,percent,10,7,Margaret Cho,Louis van Amstel,7,0.10532904462108696,-2.2506660705148303,1,True,-2.302585092994046,0.1,0.1,-2.2938084903741527,0.10088152299194543,7,True
11,4,percent,9,8,The Situation,Karina Smirnoff,8,0.11778752811583053,-2.138872886749679,1,True,-2.1972245773362196,0.1111111111111111,0.1111111111111111,-2.181695915808037,0.11284998419090729,8,True
11,5,percent,8,3,Florence Henderson,Corky Ballas,2,0.13183144713588457,-2.0262310879844514,2,False,-2.0794415416798357,0.125,0.125,-2.0749104197650334,0.12556767537125987,2,False
11,6,percent,7,0,Audrina Patridge,Tony Dovolani,4,0.15014632414572188,-1.8961449660664411,5,False,-1.9459101490553132,0.14285714285714285,0.14285714285714285,-1.951509736579889,0.14205943727767142,4,False
11,7,percent,6,5,Rick Fox,Cheryl Burke,1,0.1779878554079507,-1.7260399590629116,2,False,-1.791759469228055,0.16666666666666666,0.16666666666666666,-1.7911968344891434,0.1667604655079208,1,False
