pro_dancer,judge_FE,fan_FE,fan_minus_judge,rank_fan,rank_judge,rank_gap
Witney Carson (Xoshitl Gomez week 9),0.1996705413652032,20.70551805281115,20.505847511445946,1,20,-19
Corky Ballas,0.4181176721181112,10.048719977791373,9.630602305673262,2,7,-5
Julianne Hough,0.06943854673579224,8.223984178412774,8.154545631676982,3,26,-23
Emma Slater/Kaitlyn Bristowe (week 9),-1.1087922574071354,6.903110695442236,8.011902952849372,4,56,-52
Henry Byalikov,-0.036529506467631936,6.88346739342711,6.919996899894742,5,36,-31
Tyne Stecklein,-1.1039601239854355,5.673052443106807,6.7770125670922425,8,55,-47
Chelsie Hightower,-0.2725452399784821,6.031047380884608,6.303592620863091,7,44,-37
Tristan MacManus,0.06614787400581652,6.341286797563066,6.2751389235572494,6,27,-21
Anna Trebunskaya,-0.09687818090858073,5.161669529332354,5.258547710240935,9,38,-29
Lacey Schwimmer,-0.3622769023700239,4.543141420946752,4.905418323316776,10,46,-36
